date,spot,next_spot,return_pct,actual_up,p_oi,oi_action,oi_conviction,oi_participated,oi_correct,year
2021-06-25,35364.23828125,35359.0390625,-0.015,False,0.5475,NO_TRADE,none,False,,2021
2021-06-28,35359.0390625,35009.89453125,-0.987,False,0.1512,BUY_PE,high,True,True,2021
2021-06-29,35009.89453125,34771.796875,-0.68,False,0.1922,BUY_PE,high,True,True,2021
2021-06-30,34771.796875,34683.59765625,-0.254,False,0.258,BUY_PE,high,True,True,2021
2021-07-01,34683.59765625,34809.4921875,0.363,True,0.0569,BUY_PE,high,True,False,2021
2021-07-02,34809.4921875,35211.58984375,1.155,True,0.1966,BUY_PE,high,True,False,2021
2021-07-05,35211.58984375,35578.734375,1.043,True,0.6003,SMALL_CE,moderate,True,True,2021
2021-07-06,35578.734375,35770.88671875,0.54,True,0.52,NO_TRADE,none,False,,2021
2021-07-07,35770.88671875,35273.69140625,-1.39,False,0.6123,SMALL_CE,moderate,True,False,2021
2021-07-08,35273.69140625,35071.54296875,-0.573,False,0.151,BUY_PE,high,True,True,2021
2021-07-09,35071.54296875,35198.48828125,0.362,True,0.2501,BUY_PE,high,True,False,2021
2021-07-12,35198.48828125,35672.984375,1.348,True,0.1715,BUY_PE,high,True,False,2021
2021-07-13,35672.984375,35667.8359375,-0.014,False,0.5602,SMALL_CE,moderate,True,False,2021
2021-07-14,35667.8359375,35907.23046875,0.671,True,0.456,NO_TRADE,none,False,,2021
2021-07-15,35907.23046875,35751.38671875,-0.434,False,0.5952,SMALL_CE,moderate,True,False,2021
2021-07-16,35751.38671875,35078.79296875,-1.881,False,0.2159,BUY_PE,high,True,True,2021
2021-07-19,35078.79296875,34415.05078125,-1.892,False,0.165,BUY_PE,high,True,True,2021
2021-07-20,34415.05078125,34676.8984375,0.761,True,0.2678,BUY_PE,high,True,False,2021
2021-07-22,34676.8984375,35033.9921875,1.03,True,0.5192,NO_TRADE,none,False,,2021
2021-07-23,35033.9921875,34949.29296875,-0.242,False,0.6006,SMALL_CE,moderate,True,False,2021
2021-07-26,34949.29296875,34797.04296875,-0.436,False,0.2327,BUY_PE,high,True,True,2021
2021-07-27,34797.04296875,34532.49609375,-0.76,False,0.2418,BUY_PE,high,True,True,2021
2021-07-28,34532.49609375,34691.09765625,0.459,True,0.1352,BUY_PE,high,True,False,2021
2021-07-29,34691.09765625,34583.94921875,-0.309,False,0.542,NO_TRADE,none,False,,2021
2021-07-30,34583.94921875,34709.59765625,0.363,True,0.0981,BUY_PE,high,True,False,2021
2021-08-02,34709.59765625,35207.0390625,1.433,True,0.1758,BUY_PE,high,True,False,2021
2021-08-03,35207.0390625,36027.6328125,2.331,True,0.5428,NO_TRADE,none,False,,2021
2021-08-04,36027.6328125,35834.33203125,-0.537,False,0.3936,SMALL_PE,moderate,True,True,2021
2021-08-05,35834.33203125,35808.83203125,-0.071,False,0.1777,BUY_PE,high,True,True,2021
2021-08-06,35808.83203125,36028.53125,0.614,True,0.2805,BUY_PE,high,True,False,2021
2021-08-09,36028.53125,36033.68359375,0.014,False,0.5147,NO_TRADE,none,False,,2021
2021-08-10,36033.68359375,35805.98046875,-0.632,False,0.1325,BUY_PE,high,True,True,2021
2021-08-11,35805.98046875,35936.6328125,0.365,True,0.2655,BUY_PE,high,True,False,2021
2021-08-12,35936.6328125,36168.9296875,0.646,True,0.5116,NO_TRADE,none,False,,2021
