earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-04-29 20:00:00,40.3,12.81,-68.21,ACC
2026-01-28 03:00:00,20.4,19.96,-2.15,ACC
2025-10-31 03:00:00,17.1,59.45,247.66,ACC
2025-07-24 03:00:00,26.7,19.94,-25.32,ACC
2025-04-24 05:00:00,26.98,33.8,25.28,ACC
2025-01-27 03:00:00,20.15,57.98,187.74,ACC
2024-10-24 03:00:00,8.72,11.82,35.51,ACC
2024-07-29 07:00:00,21.65,19.19,-11.36,ACC
2024-04-25 05:00:00,25.8,37.99,47.24,ACC
2024-01-25 03:00:00,24.2,28.55,17.98,ACC
2023-10-26 04:00:00,19.4,20.6,6.19,ACC
2023-07-27 05:00:00,18.85,24.76,31.35,ACC
2023-04-27 10:00:00,18.47,15.11,-18.2,ACC
2023-01-31 10:00:00,12.65,9.16,-27.6,ACC
2022-10-17 04:00:00,6.2,-4.01,-164.71,ACC
2022-07-14 06:00:00,12.5,12.07,-3.44,ACC
2022-04-19 06:00:00,19.3,21.05,9.07,ACC
2022-02-09 07:00:00,21.9,17.04,-22.21,ACC
2021-10-19 07:00:00,22.3,23.91,7.22,ACC
2021-07-19 07:00:00,25.0,30.24,20.96,ACC
2021-04-19 06:00:00,21.54,29.61,37.45,ACC
2021-02-11 05:00:00,22.11,33.99,53.7,ACC
2020-10-19 06:00:00,20.0,19.33,-3.35,ACC
