earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-04-30 04:00:00,14.84,14.69,-1.01,ADANIPORTS
2026-02-03 03:00:00,15.45,14.61,-5.49,ADANIPORTS
2025-11-04 02:00:00,15.31,14.39,-6.01,ADANIPORTS
2025-08-05 04:00:00,13.8,15.34,11.14,ADANIPORTS
2025-05-01 03:00:00,11.99,14.05,17.2,ADANIPORTS
2025-01-30 02:00:00,12.5,11.78,-5.78,ADANIPORTS
2024-10-29 03:00:00,11.53,11.52,-0.05,ADANIPORTS
2024-08-01 03:00:00,10.67,14.99,40.53,ADANIPORTS
2024-05-02 03:00:00,11.33,10.93,-3.58,ADANIPORTS
2024-02-01 02:00:00,10.73,10.22,-4.77,ADANIPORTS
2023-11-09 03:00:00,9.33,10.2,9.29,ADANIPORTS
2023-08-08 04:00:00,9.3,9.79,5.27,ADANIPORTS
2023-05-30 10:00:00,7.17,11.25,56.95,ADANIPORTS
2023-02-07 02:00:00,6.85,6.09,-11.09,ADANIPORTS
2022-11-01 06:00:00,5.06,7.77,53.48,ADANIPORTS
2022-08-08 05:00:00,6.33,5.08,-19.79,ADANIPORTS
2022-05-25 00:00:00,8.3,4.85,-41.57,ADANIPORTS
2022-02-01 08:00:00,5.89,6.97,18.34,ADANIPORTS
2021-10-27 07:00:00,6.9,3.04,-55.91,ADANIPORTS
2021-08-03 04:00:00,6.2,6.41,3.39,ADANIPORTS
2021-05-04 06:00:00,8.5,6.34,-25.4,ADANIPORTS
2021-02-09 04:00:00,7.25,7.69,6.03,ADANIPORTS
2020-11-03 05:00:00,6.04,6.83,13.02,ADANIPORTS
2020-08-11 06:00:00,3.27,3.73,14.18,ADANIPORTS
