earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-26 05:00:00,29.77,42.15,41.6,AIAENG
2026-01-30 02:00:00,29.03,31.82,9.61,AIAENG
2025-11-07 10:00:00,29.23,29.73,1.7,AIAENG
2025-08-13 04:00:00,27.6,32.69,18.44,AIAENG
2025-05-23 05:00:00,27.85,30.55,9.69,AIAENG
2025-02-07 03:00:00,28.05,27.78,-0.96,AIAENG
2024-10-30 04:00:00,30.83,27.29,-11.49,AIAENG
2024-08-12 04:00:00,29.08,27.52,-5.35,AIAENG
2024-05-14 05:00:00,27.9,27.63,-0.97,AIAENG
2024-02-07 03:00:00,29.95,29.64,-1.04,AIAENG
2023-11-06 02:00:00,30.7,34.26,11.6,AIAENG
2023-08-02 03:00:00,27.8,28.87,3.85,AIAENG
2023-05-25 05:00:00,27.25,28.43,4.33,AIAENG
2023-01-27 05:00:00,23.6,37.37,58.35,AIAENG
2022-11-14 02:00:00,21.61,25.95,20.08,AIAENG
2022-08-09 03:00:00,15.71,20.19,28.54,AIAENG
2022-05-25 05:00:00,16.7,20.63,23.53,AIAENG
2022-01-27 03:00:00,15.0,14.65,-2.33,AIAENG
2021-10-30 08:00:00,15.5,14.59,-5.87,AIAENG
2021-08-13 03:00:00,13.2,15.83,19.92,AIAENG
2021-05-25 06:00:00,13.9,14.18,2.01,AIAENG
2021-02-09 03:00:00,12.3,16.56,34.63,AIAENG
2020-11-02 04:00:00,12.35,15.56,26.0,AIAENG
2020-08-11 04:00:00,9.9,13.71,38.48,AIAENG
