earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-05 05:00:00,20.34,21.34,4.93,AJANTPHARM
2026-01-30 04:00:00,19.84,21.91,10.45,AJANTPHARM
2025-11-03 02:00:00,21.65,20.82,-3.83,AJANTPHARM
2025-07-28 05:00:00,20.9,20.43,-2.25,AJANTPHARM
2025-04-30 06:00:00,16.9,18.0,6.51,AJANTPHARM
2025-01-30 05:00:00,16.42,18.59,13.22,AJANTPHARM
2024-10-28 06:00:00,18.07,17.26,-4.48,AJANTPHARM
2024-07-30 05:00:00,17.6,19.53,10.97,AJANTPHARM
2024-05-02 07:00:00,12.0,16.09,34.08,AJANTPHARM
2024-01-31 05:00:00,15.83,16.67,5.31,AJANTPHARM
2023-10-31 04:00:00,10.3,15.5,50.49,AJANTPHARM
2023-07-27 06:00:00,10.3,16.53,60.49,AJANTPHARM
2023-05-05 06:00:00,13.9,9.54,-31.37,AJANTPHARM
2023-02-01 05:00:00,12.85,10.5,-18.29,AJANTPHARM
2022-11-03 06:00:00,13.7,12.22,-10.8,AJANTPHARM
2022-05-11 01:00:00,12.4,11.8,-4.84,AJANTPHARM
2021-10-29 04:00:00,10.6,15.09,42.39,AJANTPHARM
2021-07-29 06:00:00,13.33,13.39,0.4,AJANTPHARM
2021-04-30 06:00:00,12.2,12.27,0.55,AJANTPHARM
2021-02-02 05:00:00,11.07,13.61,22.95,AJANTPHARM
2020-11-03 05:00:00,10.37,13.0,25.4,AJANTPHARM
2020-07-30 04:00:00,5.6,11.29,101.55,AJANTPHARM
2020-05-20 07:00:00,9.65,10.01,3.74,AJANTPHARM
2020-02-05 07:00:00,8.16,8.23,0.85,AJANTPHARM
2019-11-05 07:00:00,8.91,8.95,0.51,AJANTPHARM
