earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-23 10:00:00,3.3,3.73,13.03,ANURAS
2026-02-14 00:00:00,2.6,4.22,62.31,ANURAS
2025-10-17 00:00:00,3.5,3.93,12.29,ANURAS
2025-08-13 09:00:00,2.8,3.1,10.71,ANURAS
2025-05-23 08:00:00,2.6,4.06,56.15,ANURAS
2025-02-13 09:00:00,1.9,2.57,35.26,ANURAS
2024-11-14 10:00:00,0.4,1.51,277.5,ANURAS
2024-08-13 08:00:00,2.1,0.36,-82.86,ANURAS
2024-05-18 12:00:00,2.25,2.83,25.78,ANURAS
2024-02-11 23:00:00,3.2,1.7,-46.87,ANURAS
2023-11-07 00:00:00,4.1,3.77,-8.05,ANURAS
2023-08-01 00:00:00,3.4,4.85,42.65,ANURAS
2023-05-02 23:00:00,5.4,6.99,29.44,ANURAS
2023-01-27 00:00:00,4.2,5.3,26.19,ANURAS
2022-10-27 08:00:00,4.2,4.75,13.1,ANURAS
2022-07-25 00:00:00,3.9,3.95,1.28,ANURAS
2022-05-12 10:00:00,5.1,4.6,-9.8,ANURAS
2022-02-11 08:00:00,3.8,3.78,-0.53,ANURAS
2021-11-10 02:00:00,3.6,3.59,-0.28,ANURAS
