earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2022-05-25 06:00:00,3.7,5.27,42.43,ASAHIINDIA
2021-07-30 01:00:00,1.3,1.45,11.54,ASAHIINDIA
2021-06-16 02:00:00,2.6,3.48,33.85,ASAHIINDIA
2021-02-10 00:00:00,2.15,3.04,41.4,ASAHIINDIA
2020-11-04 00:00:00,1.2,1.53,27.5,ASAHIINDIA
2020-08-05 02:00:00,-2.18,-2.58,-18.35,ASAHIINDIA
2020-06-24 01:00:00,1.53,2.3,50.33,ASAHIINDIA
2020-02-12 06:00:00,2.27,1.47,-35.42,ASAHIINDIA
2019-05-22 07:00:00,2.39,1.93,-19.45,ASAHIINDIA
2019-02-12 07:00:00,1.95,2.25,15.24,ASAHIINDIA
2018-11-05 07:00:00,2.0,1.81,-9.31,ASAHIINDIA
2018-08-07 04:00:00,2.08,1.88,-9.62,ASAHIINDIA
2018-05-25 08:00:00,2.04,2.38,16.71,ASAHIINDIA
2018-02-13 07:00:00,1.38,1.79,29.71,ASAHIINDIA
2017-11-08 03:00:00,1.78,1.62,-8.99,ASAHIINDIA
2008-08-02 18:00:00,-0.4,-2.56,-540.0,ASAHIINDIA
2008-05-06 09:00:00,-0.2,-0.67,-235.0,ASAHIINDIA
2008-01-22 07:00:00,1.0,-0.2,-120.0,ASAHIINDIA
2007-10-26 06:00:00,1.6,0.35,-78.12,ASAHIINDIA
