earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-28 05:00:00,2.31,2.39,3.32,ASHOKLEY
2026-02-11 03:00:00,2.44,1.75,-28.17,ASHOKLEY
2025-11-12 03:00:00,1.88,1.36,-27.55,ASHOKLEY
2025-08-14 03:00:00,0.97,1.01,4.39,ASHOKLEY
2025-05-23 05:00:00,1.91,2.14,11.72,ASHOKLEY
2025-02-12 03:00:00,1.12,1.3,16.14,ASHOKLEY
2024-11-08 02:00:00,0.98,1.16,18.39,ASHOKLEY
2024-07-25 03:00:00,0.95,0.9,-6.12,ASHOKLEY
2024-05-24 04:00:00,1.55,1.61,3.95,ASHOKLEY
2024-02-05 08:00:00,0.96,0.99,2.62,ASHOKLEY
2023-11-09 04:00:00,1.03,0.98,-4.95,ASHOKLEY
2023-07-21 01:00:00,0.49,0.98,100.14,ASHOKLEY
2023-05-23 06:00:00,1.11,1.34,21.15,ASHOKLEY
2023-02-01 10:00:00,0.56,0.61,9.4,ASHOKLEY
2022-11-10 12:00:00,0.36,0.33,-7.51,ASHOKLEY
2022-07-29 04:00:00,0.34,0.1,-70.17,ASHOKLEY
2022-05-19 06:00:00,0.38,0.81,111.57,ASHOKLEY
2022-02-11 08:00:00,,-0.01,-235.0,ASHOKLEY
2021-11-12 08:00:00,-0.08,-0.14,-78.57,ASHOKLEY
2021-08-12 08:00:00,-0.38,-0.48,-27.02,ASHOKLEY
2021-06-24 12:00:00,0.21,0.36,75.31,ASHOKLEY
2021-02-11 07:00:00,0.12,0.05,-61.13,ASHOKLEY
2020-11-06 09:00:00,-0.19,-0.25,-31.56,ASHOKLEY
2020-08-12 09:00:00,-0.57,-0.66,-15.95,ASHOKLEY
