earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-04-27 07:00:00,10.15,11.01,8.47,AUBANK
2025-10-17 11:00:00,7.61,7.48,-1.71,AUBANK
2025-07-18 20:00:00,7.0,7.78,11.17,AUBANK
2025-04-22 06:00:00,7.03,6.75,-4.03,AUBANK
2025-01-24 04:00:00,7.07,7.08,0.19,AUBANK
2024-10-23 06:00:00,6.93,7.65,10.34,AUBANK
2024-07-25 06:00:00,6.73,6.74,0.11,AUBANK
2024-04-24 06:00:00,5.64,6.45,14.32,AUBANK
2024-01-25 08:00:00,6.18,5.58,-9.71,AUBANK
2023-10-28 04:00:00,5.64,5.98,6.08,AUBANK
2023-07-22 06:00:00,5.85,5.77,-1.37,AUBANK
2023-04-25 07:00:00,6.01,6.34,5.49,AUBANK
2023-01-19 09:00:00,5.51,5.87,6.63,AUBANK
2022-10-19 06:00:00,5.08,5.24,3.25,AUBANK
2022-07-20 06:00:00,5.77,4.22,-26.8,AUBANK
2022-04-26 07:00:00,4.86,5.46,12.32,AUBANK
2022-01-28 05:00:00,4.29,4.77,11.25,AUBANK
2021-10-28 09:00:00,3.76,4.41,17.23,AUBANK
2021-08-06 04:00:00,3.03,3.22,6.05,AUBANK
2021-04-29 11:00:00,2.84,2.73,-3.99,AUBANK
2021-01-28 06:00:00,5.93,7.77,30.99,AUBANK
2020-10-28 08:00:00,2.68,5.24,95.46,AUBANK
2020-07-23 08:00:00,2.7,3.26,20.85,AUBANK
2020-05-02 07:00:00,3.18,1.99,-37.65,AUBANK
