earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-06 08:00:00,92.37,96.91,4.92,BAJAJ-AUTO
2026-01-30 05:00:00,88.54,91.24,3.06,BAJAJ-AUTO
2025-11-07 06:00:00,87.12,88.7,1.81,BAJAJ-AUTO
2025-08-06 02:00:00,70.68,75.0,6.12,BAJAJ-AUTO
2025-05-29 08:00:00,71.44,73.4,2.75,BAJAJ-AUTO
2025-01-28 07:00:00,75.4,75.5,0.14,BAJAJ-AUTO
2024-10-16 07:00:00,80.84,71.9,-11.06,BAJAJ-AUTO
2024-07-16 04:00:00,69.86,71.2,1.92,BAJAJ-AUTO
2024-04-18 07:00:00,66.19,68.5,3.49,BAJAJ-AUTO
2024-01-24 05:00:00,69.16,72.2,4.4,BAJAJ-AUTO
2023-10-18 07:00:00,63.29,64.9,2.55,BAJAJ-AUTO
2023-07-25 03:00:00,54.18,58.9,8.72,BAJAJ-AUTO
2023-04-25 07:00:00,49.41,50.7,2.62,BAJAJ-AUTO
2023-01-25 04:00:00,48.07,52.7,9.63,BAJAJ-AUTO
2022-10-14 06:00:00,48.2,53.5,11.0,BAJAJ-AUTO
2022-07-26 04:00:00,38.86,40.6,4.48,BAJAJ-AUTO
2022-04-27 07:00:00,37.67,42.36,12.45,BAJAJ-AUTO
2022-01-19 07:00:00,41.21,42.0,1.91,BAJAJ-AUTO
2021-10-27 08:00:00,41.86,44.1,5.36,BAJAJ-AUTO
2021-07-22 02:00:00,38.84,36.7,-5.5,BAJAJ-AUTO
2021-04-29 05:00:00,46.74,46.1,-1.38,BAJAJ-AUTO
2021-01-21 03:00:00,42.75,53.8,25.84,BAJAJ-AUTO
2020-10-22 03:00:00,40.83,39.3,-3.75,BAJAJ-AUTO
2020-07-22 02:00:00,20.26,18.3,-9.68,BAJAJ-AUTO
