earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-04-29 07:00:00,7.9,7.76,-1.77,BAJFINANCE
2026-02-03 06:00:00,7.5,8.79,17.25,BAJFINANCE
2025-11-10 06:00:00,7.1,6.82,-3.94,BAJFINANCE
2025-07-24 06:00:00,6.48,6.64,2.55,BAJFINANCE
2025-04-29 08:00:00,7.34,7.22,-1.63,BAJFINANCE
2025-01-29 06:00:00,6.75,6.85,1.45,BAJFINANCE
2024-10-22 08:00:00,7.29,6.45,-11.49,BAJFINANCE
2024-07-23 06:00:00,6.42,6.31,-1.62,BAJFINANCE
2024-04-25 08:00:00,6.08,6.17,1.47,BAJFINANCE
2024-01-29 06:00:00,6.11,5.92,-3.04,BAJFINANCE
2023-10-17 06:00:00,5.9,5.85,-0.91,BAJFINANCE
2023-07-26 04:00:00,5.54,5.66,2.1,BAJFINANCE
2023-04-26 08:00:00,5.15,5.2,1.09,BAJFINANCE
2023-01-27 05:00:00,4.5,4.32,-3.99,BAJFINANCE
2022-10-20 06:00:00,4.42,4.07,-7.91,BAJFINANCE
2022-07-27 05:00:00,3.92,3.88,-1.08,BAJFINANCE
2022-04-26 08:00:00,3.99,3.99,0.01,BAJFINANCE
2022-01-18 08:00:00,3.19,3.5,9.85,BAJFINANCE
2021-10-26 06:00:00,2.99,2.07,-30.86,BAJFINANCE
2021-07-20 05:00:00,1.97,1.65,-15.87,BAJFINANCE
2021-04-27 07:00:00,2.2,1.88,-14.47,BAJFINANCE
2021-01-20 05:00:00,1.79,1.61,-10.13,BAJFINANCE
2020-10-21 04:00:00,2.03,1.6,-21.28,BAJFINANCE
2020-07-21 03:00:00,1.58,1.36,-14.24,BAJFINANCE
