earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-08 07:00:00,9.18,10.86,18.27,BANKBARODA
2026-01-30 06:00:00,8.85,9.77,10.4,BANKBARODA
2025-10-31 07:00:00,8.14,9.3,14.19,BANKBARODA
2025-07-25 12:00:00,8.4,8.78,4.57,BANKBARODA
2025-05-06 04:00:00,8.8,9.78,11.08,BANKBARODA
2025-01-30 07:00:00,8.27,9.35,13.1,BANKBARODA
2024-10-25 06:00:00,8.21,10.13,23.33,BANKBARODA
2024-07-31 06:00:00,8.56,8.62,0.74,BANKBARODA
2024-05-10 05:00:00,8.6,9.45,9.93,BANKBARODA
2024-01-31 03:00:00,7.78,8.86,13.86,BANKBARODA
2023-11-04 04:00:00,7.42,8.22,10.78,BANKBARODA
2023-08-05 04:00:00,8.18,7.87,-3.83,BANKBARODA
2023-05-16 03:00:00,7.45,9.23,23.97,BANKBARODA
2023-02-03 03:00:00,6.65,7.45,11.99,BANKBARODA
2022-11-05 03:00:00,5.16,6.41,24.12,BANKBARODA
2022-07-30 05:00:00,3.19,4.19,31.38,BANKBARODA
2022-05-13 06:00:00,4.27,3.44,-19.44,BANKBARODA
2022-02-05 04:00:00,3.6,4.25,17.99,BANKBARODA
2021-11-10 03:00:00,2.77,4.04,45.64,BANKBARODA
2021-08-07 05:00:00,5.2,2.34,-55.0,BANKBARODA
2021-05-29 06:00:00,4.72,-2.24,-147.41,BANKBARODA
2021-01-27 04:00:00,1.55,2.3,48.39,BANKBARODA
2020-10-29 04:00:00,2.63,3.63,37.85,BANKBARODA
2020-08-10 08:00:00,3.01,-1.87,-162.18,BANKBARODA
