earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-28 04:00:00,10.4,3.09,-70.29,BDL
2026-01-31 04:00:00,5.95,1.99,-66.55,BDL
2025-11-13 06:00:00,4.0,5.89,47.25,BDL
2025-08-12 06:00:00,2.2,0.5,-77.27,BDL
2025-05-27 06:00:00,12.9,7.44,-42.33,BDL
2025-02-06 00:00:00,5.6,4.01,-28.39,BDL
2024-11-14 03:00:00,3.2,3.34,4.38,BDL
2024-08-09 07:00:00,3.25,0.2,-93.85,BDL
2024-05-30 06:00:00,3.55,7.88,121.97,BDL
2024-01-24 03:00:00,3.45,3.69,6.81,BDL
2023-11-03 05:00:00,2.0,4.01,100.75,BDL
2020-08-31 08:00:00,3.18,-2.13,-166.98,BDL
2020-02-12 06:00:00,4.13,1.45,-64.85,BDL
2019-05-30 09:00:00,9.09,3.39,-62.74,BDL
