earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-12 06:00:00,2.3,2.63,14.29,BERGEPAINT
2026-02-05 05:00:00,2.47,2.68,8.71,BERGEPAINT
2025-11-04 05:00:00,2.39,1.77,-25.89,BERGEPAINT
2025-08-05 05:00:00,2.88,2.94,1.94,BERGEPAINT
2025-05-14 05:00:00,2.0,2.25,12.59,BERGEPAINT
2025-02-11 07:00:00,2.49,2.53,1.5,BERGEPAINT
2024-11-05 05:00:00,2.4,2.31,-3.59,BERGEPAINT
2024-08-09 05:00:00,2.83,3.03,7.26,BERGEPAINT
2024-05-15 06:00:00,2.0,1.9,-4.81,BERGEPAINT
2024-02-06 06:00:00,2.81,2.57,-8.62,BERGEPAINT
2023-11-02 04:00:00,2.84,2.5,-12.07,BERGEPAINT
2023-08-09 05:00:00,2.8,3.04,8.79,BERGEPAINT
2023-05-15 06:00:00,1.94,1.59,-17.91,BERGEPAINT
2023-02-02 06:00:00,2.31,1.73,-25.41,BERGEPAINT
2022-11-10 06:00:00,2.1,1.88,-10.14,BERGEPAINT
2022-08-04 05:00:00,1.99,2.17,9.28,BERGEPAINT
2022-05-26 08:00:00,1.95,1.89,-3.11,BERGEPAINT
2022-02-09 08:00:00,2.49,2.17,-12.87,BERGEPAINT
2021-11-10 05:00:00,1.86,1.88,0.67,BERGEPAINT
2021-08-06 05:00:00,1.39,1.21,-13.04,BERGEPAINT
2021-05-26 05:00:00,1.66,1.79,8.04,BERGEPAINT
2021-02-09 05:00:00,2.08,2.36,13.2,BERGEPAINT
2020-11-05 06:00:00,1.23,1.9,54.58,BERGEPAINT
2020-08-14 07:00:00,0.23,0.13,-42.86,BERGEPAINT
