earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-13 07:00:00,12.75,16.98,33.1,BHARTIARTL
2026-02-05 05:00:00,11.58,11.5,-0.7,BHARTIARTL
2025-11-03 06:00:00,10.55,11.3,7.08,BHARTIARTL
2025-08-05 07:00:00,11.5,9.9,-13.9,BHARTIARTL
2025-05-13 08:00:00,13.2,18.61,41.02,BHARTIARTL
2025-02-06 06:00:00,8.06,9.16,13.62,BHARTIARTL
2024-10-28 06:00:00,7.84,6.53,-16.71,BHARTIARTL
2024-08-05 07:00:00,5.48,7.95,45.1,BHARTIARTL
2024-05-14 06:00:00,6.68,6.61,-1.03,BHARTIARTL
2024-02-05 05:00:00,5.44,4.25,-21.83,BHARTIARTL
2023-10-31 07:00:00,5.13,5.1,-0.69,BHARTIARTL
2023-08-03 07:00:00,4.63,4.86,5.01,BHARTIARTL
2023-05-16 07:00:00,5.13,5.19,1.21,BHARTIARTL
2023-02-07 05:00:00,4.88,3.58,-26.54,BHARTIARTL
2022-10-31 06:00:00,4.48,3.75,-16.38,BHARTIARTL
2022-08-08 07:00:00,3.55,2.84,-19.97,BHARTIARTL
2022-05-17 06:00:00,3.31,2.37,-28.48,BHARTIARTL
2022-02-08 05:00:00,2.44,1.44,-41.2,BHARTIARTL
2021-11-02 06:00:00,1.06,1.19,12.71,BHARTIARTL
2021-08-03 06:00:00,0.87,0.49,-43.91,BHARTIARTL
2021-05-17 06:00:00,2.34,0.79,-66.32,BHARTIARTL
2021-02-03 05:00:00,-0.16,-0.55,-248.89,BHARTIARTL
2020-10-27 06:00:00,-0.92,-1.37,-48.33,BHARTIARTL
2020-07-29 10:00:00,-0.58,-0.8,-37.12,BHARTIARTL
