earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-06 07:00:00,7.86,11.69,48.71,BLUESTARCO
2026-01-29 05:00:00,5.53,5.97,7.89,BLUESTARCO
2025-11-05 05:00:00,4.25,4.8,12.94,BLUESTARCO
2025-08-06 05:00:00,5.85,5.88,0.51,BLUESTARCO
2025-05-07 06:00:00,13.1,9.44,-27.94,BLUESTARCO
2025-01-29 05:00:00,6.0,5.99,-0.16,BLUESTARCO
2024-11-06 05:00:00,6.48,4.67,-27.88,BLUESTARCO
2024-08-06 05:00:00,8.62,8.21,-4.76,BLUESTARCO
2024-05-02 05:00:00,7.25,7.77,7.17,BLUESTARCO
2024-01-30 04:00:00,5.48,4.89,-10.68,BLUESTARCO
2023-10-30 06:00:00,3.2,3.65,14.06,BLUESTARCO
2023-08-03 04:00:00,6.9,4.33,-37.25,BLUESTARCO
2023-05-04 06:00:00,5.68,5.37,-5.35,BLUESTARCO
2023-01-31 06:00:00,3.1,3.03,-2.26,BLUESTARCO
2022-11-03 06:00:00,2.17,2.22,2.07,BLUESTARCO
2022-08-04 05:00:00,4.49,3.86,-14.03,BLUESTARCO
2022-05-05 07:00:00,3.84,3.96,3.19,BLUESTARCO
2022-02-02 06:00:00,1.88,2.47,31.15,BLUESTARCO
2021-10-28 06:00:00,1.43,1.64,14.74,BLUESTARCO
2021-08-04 03:00:00,1.4,0.66,-52.86,BLUESTARCO
2021-05-06 06:00:00,2.95,3.53,19.66,BLUESTARCO
2021-01-29 03:00:00,1.02,1.91,85.85,BLUESTARCO
2020-10-28 09:00:00,0.78,0.8,2.58,BLUESTARCO
2020-08-06 05:00:00,-2.2,-1.02,53.64,BLUESTARCO
