earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-06 09:00:00,7.88,4.33,-45.03,BRIGADE
2026-01-30 03:00:00,6.28,6.16,-1.8,BRIGADE
2025-10-29 09:00:00,5.1,4.98,-2.35,BRIGADE
2025-08-13 08:00:00,5.58,4.59,-17.67,BRIGADE
2025-05-14 09:00:00,8.35,7.74,-7.31,BRIGADE
2025-01-29 06:00:00,4.25,7.46,75.59,BRIGADE
2024-11-13 08:00:00,4.76,3.69,-22.52,BRIGADE
2024-08-05 08:00:00,1.13,2.71,140.67,BRIGADE
2024-05-28 08:00:00,2.93,6.67,127.95,BRIGADE
2024-02-06 06:00:00,3.26,2.37,-27.36,BRIGADE
2023-11-08 07:00:00,2.66,4.33,62.54,BRIGADE
2023-08-08 07:00:00,1.88,1.25,-33.6,BRIGADE
2023-05-24 05:00:00,2.36,1.71,-27.65,BRIGADE
2023-02-09 07:00:00,2.78,1.85,-33.51,BRIGADE
2022-11-12 07:00:00,2.33,2.14,-8.13,BRIGADE
2022-08-02 08:00:00,0.98,2.61,167.46,BRIGADE
2022-05-12 09:00:00,2.14,1.7,-20.68,BRIGADE
2022-02-03 08:00:00,0.9,2.55,183.33,BRIGADE
2021-08-05 06:00:00,0.15,-0.77,-610.5,BRIGADE
2021-05-18 07:00:00,0.38,2.35,526.88,BRIGADE
2021-02-04 05:00:00,1.43,0.58,-59.37,BRIGADE
2020-11-11 07:00:00,-1.87,-0.62,66.8,BRIGADE
2020-06-18 08:00:00,0.23,0.64,184.51,BRIGADE
2019-11-06 08:00:00,2.41,1.37,-42.99,BRIGADE
