earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-04 09:00:00,23.35,5.08,-78.24,CAMS
2026-01-22 02:00:00,4.97,5.04,1.41,CAMS
2025-10-28 11:00:00,4.72,4.62,-2.16,CAMS
2025-07-30 09:00:00,4.5,4.39,-2.36,CAMS
2025-05-05 08:00:00,5.06,4.59,-9.21,CAMS
2025-01-29 03:00:00,4.89,5.07,3.67,CAMS
2024-10-28 03:00:00,4.81,4.95,2.95,CAMS
2024-08-02 04:00:00,4.01,4.38,9.22,CAMS
2024-05-09 04:00:00,3.89,4.19,7.62,CAMS
2024-02-06 03:00:00,3.5,3.6,2.97,CAMS
2023-11-08 00:00:00,3.34,3.42,2.51,CAMS
2023-08-04 04:00:00,3.18,3.1,-2.64,CAMS
2023-05-06 04:00:00,2.88,3.03,5.07,CAMS
2023-02-07 02:00:00,3.12,2.99,-4.17,CAMS
2022-11-04 03:00:00,3.12,2.93,-6.15,CAMS
2022-08-05 08:00:00,2.82,2.63,-6.81,CAMS
2022-05-05 03:00:00,3.0,3.0,,CAMS
2022-02-10 03:00:00,3.06,3.14,2.68,CAMS
2021-08-10 04:00:00,2.76,3.42,23.99,CAMS
2021-05-25 07:00:00,2.44,2.17,-11.15,CAMS
