earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-11 03:00:00,5.23,4.97,-4.88,CANBK
2026-01-29 02:00:00,5.78,5.68,-1.76,CANBK
2025-10-30 03:00:00,4.53,5.26,16.24,CANBK
2025-07-24 03:00:00,4.88,5.24,7.43,CANBK
2025-05-08 04:00:00,4.57,5.52,20.72,CANBK
2025-01-27 02:00:00,4.37,4.52,3.47,CANBK
2024-10-29 03:00:00,8.68,4.43,-48.93,CANBK
2024-07-25 03:00:00,4.56,4.31,-5.4,CANBK
2024-05-08 04:00:00,4.12,4.14,0.44,CANBK
2024-01-24 02:00:00,3.74,4.03,7.79,CANBK
2023-10-26 03:00:00,3.76,3.98,5.7,CANBK
2023-07-24 03:00:00,3.71,3.9,5.09,CANBK
2023-05-08 03:00:00,3.48,3.5,0.46,CANBK
2023-01-23 01:00:00,2.6,3.18,22.14,CANBK
2022-10-20 02:00:00,2.07,2.78,34.29,CANBK
2022-07-25 03:00:00,1.64,2.23,35.68,CANBK
2022-05-06 02:00:00,2.03,1.84,-9.56,CANBK
2022-01-27 05:00:00,1.41,2.67,89.42,CANBK
2021-10-26 02:00:00,1.39,1.55,11.99,CANBK
2021-07-27 03:00:00,1.02,1.43,40.47,CANBK
2021-05-18 04:00:00,0.7,1.23,74.56,CANBK
2021-01-27 02:00:00,0.23,0.93,304.35,CANBK
2020-10-29 06:00:00,-0.36,0.61,268.75,CANBK
2020-08-05 07:00:00,-0.38,0.56,245.31,CANBK
