earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-04-24 11:00:00,20.93,25.96,24.06,CANFINHOME
2026-01-17 08:00:00,19.42,19.89,2.42,CANFINHOME
2025-10-18 09:00:00,17.29,18.88,9.2,CANFINHOME
2025-07-19 09:00:00,16.73,16.81,0.48,CANFINHOME
2025-04-23 10:00:00,16.29,17.57,7.86,CANFINHOME
2025-01-18 07:00:00,16.11,15.93,-1.09,CANFINHOME
2024-10-22 09:00:00,17.46,15.88,-9.05,CANFINHOME
2024-07-20 10:00:00,15.65,14.99,-4.22,CANFINHOME
2024-04-29 09:00:00,15.53,15.7,1.13,CANFINHOME
2024-01-20 03:00:00,15.18,15.03,-0.96,CANFINHOME
2023-10-17 11:00:00,11.11,11.87,6.84,CANFINHOME
2023-07-19 09:00:00,12.67,13.78,8.76,CANFINHOME
2023-04-26 12:00:00,23.44,12.45,-46.89,CANFINHOME
2020-06-15 08:00:00,7.76,6.83,-11.98,CANFINHOME
2020-01-20 08:00:00,7.94,8.01,0.88,CANFINHOME
2019-11-04 04:00:00,6.2,7.33,18.23,CANFINHOME
2019-07-22 06:00:00,5.9,6.08,3.05,CANFINHOME
2019-04-30 11:00:00,6.6,5.09,-22.88,CANFINHOME
2019-01-23 04:00:00,6.33,5.91,-6.64,CANFINHOME
2018-10-22 07:00:00,6.05,5.83,-3.64,CANFINHOME
2018-04-29 23:00:00,7.05,5.67,-19.57,CANFINHOME
2018-01-23 08:00:00,6.0,6.02,0.33,CANFINHOME
2017-10-24 05:00:00,5.74,5.63,-1.88,CANFINHOME
2017-04-25 04:00:00,4.63,5.32,14.94,CANFINHOME
2017-01-17 09:00:00,4.59,4.48,-2.35,CANFINHOME
