earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2020-11-05 01:00:00,7.83,7.46,-4.73,CAPLIPOINT
2020-08-10 02:00:00,5.96,7.15,19.97,CAPLIPOINT
2020-06-18 03:00:00,8.31,6.41,-22.86,CAPLIPOINT
2020-02-05 02:00:00,7.88,7.68,-2.54,CAPLIPOINT
2019-08-12 07:00:00,6.72,6.6,-1.79,CAPLIPOINT
2019-05-22 03:00:00,6.28,6.55,4.3,CAPLIPOINT
2019-02-11 03:00:00,6.1,6.03,-1.15,CAPLIPOINT
2018-11-02 03:00:00,5.24,6.18,17.94,CAPLIPOINT
2018-08-06 05:00:00,5.21,4.92,-5.57,CAPLIPOINT
2018-05-28 06:00:00,5.42,4.74,-12.55,CAPLIPOINT
2018-02-07 04:00:00,5.08,4.94,-2.76,CAPLIPOINT
2017-11-09 05:00:00,4.94,4.69,-5.06,CAPLIPOINT
2017-05-10 07:00:00,2.97,4.42,48.82,CAPLIPOINT
2017-02-06 11:00:00,2.8,3.16,12.86,CAPLIPOINT
2016-02-14 05:00:00,1.96,2.11,7.86,CAPLIPOINT
2015-11-05 08:00:00,1.63,1.86,14.64,CAPLIPOINT
