earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-14 08:00:00,5.23,8.62,64.7,CARBORUNIV
2026-01-29 07:00:00,5.13,4.01,-21.88,CARBORUNIV
2025-10-30 07:00:00,4.87,3.94,-19.04,CARBORUNIV
2025-08-07 05:00:00,5.2,3.27,-37.12,CARBORUNIV
2025-05-12 07:00:00,5.8,1.73,-70.17,CARBORUNIV
2025-02-13 06:00:00,6.6,6.54,-0.91,CARBORUNIV
2024-10-30 05:00:00,6.87,6.07,-11.6,CARBORUNIV
2024-07-30 04:00:00,7.1,5.92,-16.62,CARBORUNIV
2024-05-03 07:00:00,6.2,7.08,14.19,CARBORUNIV
2024-01-31 03:00:00,6.27,5.84,-6.81,CARBORUNIV
2023-10-27 04:00:00,6.25,5.35,-14.4,CARBORUNIV
2023-08-02 05:00:00,6.1,5.94,-2.62,CARBORUNIV
2023-05-08 07:00:00,5.55,8.23,48.23,CARBORUNIV
2023-01-31 04:00:00,5.17,5.73,10.9,CARBORUNIV
2022-10-28 05:00:00,5.3,4.68,-11.7,CARBORUNIV
2022-08-01 05:00:00,4.5,4.14,-8.0,CARBORUNIV
2022-05-13 11:00:00,5.45,3.0,-44.95,CARBORUNIV
2022-02-10 04:00:00,5.25,5.34,1.71,CARBORUNIV
2021-11-01 05:00:00,5.2,5.14,-1.15,CARBORUNIV
2021-08-02 04:00:00,3.4,4.06,19.41,CARBORUNIV
2021-04-28 06:00:00,4.65,5.32,14.47,CARBORUNIV
2021-02-02 03:00:00,4.15,4.62,11.33,CARBORUNIV
2020-10-28 04:00:00,1.95,4.56,133.85,CARBORUNIV
2020-07-29 04:00:00,1.3,1.04,-20.0,CARBORUNIV
