earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-06 04:00:00,2.04,2.31,12.92,CGPOWER
2026-01-27 04:00:00,1.91,1.98,3.35,CGPOWER
2025-10-29 05:00:00,2.08,1.82,-12.59,CGPOWER
2025-07-24 04:00:00,1.88,1.76,-6.13,CGPOWER
2025-05-07 21:00:00,1.84,1.78,-3.11,CGPOWER
2025-01-28 03:00:00,1.7,1.57,-7.72,CGPOWER
2024-10-21 05:00:00,1.67,1.44,-13.6,CGPOWER
2024-07-24 03:00:00,1.55,1.58,1.94,CGPOWER
2024-05-06 04:00:00,1.47,1.56,6.02,CGPOWER
2024-01-23 04:00:00,1.53,1.29,-15.87,CGPOWER
2023-10-20 04:00:00,1.5,1.46,-2.76,CGPOWER
2023-05-08 03:00:00,1.1,1.63,48.23,CGPOWER
2023-01-24 02:00:00,1.3,1.34,3.24,CGPOWER
2022-10-19 04:00:00,0.9,1.17,29.77,CGPOWER
2022-07-27 04:00:00,0.7,0.87,24.84,CGPOWER
2022-05-02 03:00:00,0.8,0.75,-5.97,CGPOWER
2019-02-12 16:00:00,0.7,0.75,7.79,CGPOWER
2018-11-13 13:00:00,0.75,0.73,-2.63,CGPOWER
2018-08-10 11:00:00,0.3,0.07,-76.67,CGPOWER
2018-05-30 08:00:00,1.33,0.4,-69.68,CGPOWER
2018-02-12 08:00:00,0.43,1.38,220.93,CGPOWER
2017-11-09 08:00:00,0.52,-0.16,-131.07,CGPOWER
2017-08-11 08:00:00,0.4,-0.77,-292.5,CGPOWER
2017-05-26 08:00:00,0.43,0.6,39.4,CGPOWER
