earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2021-01-25 05:00:00,6.7,-37.37,-657.76,CHENNPETRO
2020-10-21 08:00:00,1.6,19.51,1119.38,CHENNPETRO
2020-07-24 08:00:00,-6.9,18.24,364.35,CHENNPETRO
2020-05-20 09:00:00,-26.5,-109.97,-314.98,CHENNPETRO
2020-01-18 06:00:00,6.87,0.43,-93.74,CHENNPETRO
2019-10-17 05:00:00,-15.11,-14.3,5.35,CHENNPETRO
2019-05-08 05:00:00,8.66,-1.97,-122.75,CHENNPETRO
2019-01-28 09:00:00,-23.49,-24.65,-4.94,CHENNPETRO
2018-10-29 09:00:00,8.73,1.82,-79.14,CHENNPETRO
2018-08-08 05:00:00,10.2,10.48,2.73,CHENNPETRO
2018-05-10 06:00:00,38.5,11.96,-68.94,CHENNPETRO
2018-01-19 08:00:00,21.0,25.94,23.52,CHENNPETRO
2017-11-08 05:00:00,31.6,21.16,-33.04,CHENNPETRO
2017-08-04 08:00:00,19.29,2.25,-88.34,CHENNPETRO
2017-05-15 07:00:00,20.17,11.47,-43.13,CHENNPETRO
2017-01-23 13:00:00,17.5,19.55,11.71,CHENNPETRO
2016-11-15 05:00:00,11.8,6.58,-44.24,CHENNPETRO
2016-09-07 04:00:00,22.5,31.55,40.22,CHENNPETRO
2016-05-23 11:00:00,20.4,16.5,-19.12,CHENNPETRO
2013-05-28 09:00:00,15.79,-26.34,-266.81,CHENNPETRO
2008-05-15 06:00:00,19.7,23.1,17.26,CHENNPETRO
2008-01-23 03:00:00,15.49,15.15,-2.21,CHENNPETRO
