earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-07 03:00:00,39.5,48.95,23.93,CRAFTSMAN
2026-01-28 02:00:00,37.8,46.05,21.83,CRAFTSMAN
2025-11-08 03:00:00,37.6,38.24,1.7,CRAFTSMAN
2025-05-07 04:00:00,21.5,31.96,48.65,CRAFTSMAN
2025-01-29 03:00:00,20.3,7.98,-60.69,CRAFTSMAN
2024-10-23 04:00:00,31.6,27.24,-13.8,CRAFTSMAN
2024-07-24 09:00:00,37.6,24.82,-33.99,CRAFTSMAN
2024-04-27 04:00:00,37.6,29.5,-21.54,CRAFTSMAN
2024-01-27 05:00:00,41.52,34.61,-16.64,CRAFTSMAN
2023-10-30 03:00:00,46.8,44.75,-4.38,CRAFTSMAN
2023-07-24 05:00:00,33.94,36.11,6.39,CRAFTSMAN
2023-05-08 04:00:00,24.88,36.76,47.75,CRAFTSMAN
2023-01-23 02:00:00,25.2,24.43,-3.06,CRAFTSMAN
2022-07-25 06:00:00,23.0,26.81,16.57,CRAFTSMAN
2022-05-09 06:00:00,24.7,24.36,-1.38,CRAFTSMAN
2022-01-24 05:00:00,25.3,17.8,-29.64,CRAFTSMAN
2021-10-18 06:00:00,19.5,23.65,21.28,CRAFTSMAN
2021-07-14 07:00:00,-3.9,11.39,392.05,CRAFTSMAN
