earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-08 08:00:00,19.03,21.2,11.38,CREDITACC
2026-01-20 07:00:00,15.2,15.68,3.16,CREDITACC
2025-10-28 10:00:00,6.4,7.83,22.34,CREDITACC
2025-07-22 07:00:00,6.4,3.76,-41.25,CREDITACC
2025-05-16 08:00:00,-3.8,2.95,177.63,CREDITACC
2025-01-24 06:00:00,4.25,-6.24,-246.82,CREDITACC
2024-10-25 07:00:00,20.9,11.61,-44.45,CREDITACC
2024-07-19 08:00:00,24.44,24.82,1.58,CREDITACC
2024-05-07 08:00:00,24.42,24.79,1.54,CREDITACC
2024-01-19 06:00:00,22.3,22.05,-1.12,CREDITACC
2023-10-20 07:00:00,21.2,21.69,2.31,CREDITACC
2023-07-21 08:00:00,17.1,21.8,27.49,CREDITACC
2023-02-07 07:00:00,11.6,13.53,16.64,CREDITACC
2022-10-21 08:00:00,8.9,10.97,23.26,CREDITACC
2022-07-29 07:00:00,8.9,8.8,-1.12,CREDITACC
