earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-13 06:00:00,2.53,2.83,11.92,CROMPTON
2026-02-06 05:00:00,1.5,1.76,17.44,CROMPTON
2025-11-06 05:00:00,1.86,1.34,-27.68,CROMPTON
2025-08-07 06:00:00,2.4,1.9,-20.7,CROMPTON
2025-05-15 06:00:00,2.55,2.63,3.02,CROMPTON
2025-02-12 07:00:00,1.75,1.71,-2.15,CROMPTON
2024-11-14 05:00:00,1.91,1.94,1.42,CROMPTON
2024-07-31 05:00:00,2.4,2.36,-1.73,CROMPTON
2024-05-16 06:00:00,1.91,2.16,13.0,CROMPTON
2024-02-14 06:00:00,1.58,1.34,-15.28,CROMPTON
2023-11-03 07:00:00,1.76,1.52,-13.72,CROMPTON
2023-08-12 07:00:00,1.99,1.85,-6.8,CROMPTON
2023-05-19 09:00:00,1.9,2.06,8.71,CROMPTON
2023-02-02 09:00:00,1.85,1.32,-28.65,CROMPTON
2022-10-26 09:00:00,2.15,1.95,-9.46,CROMPTON
2022-07-22 04:00:00,2.45,2.0,-18.37,CROMPTON
2022-05-27 09:00:00,2.56,2.96,15.85,CROMPTON
2022-01-29 02:00:00,2.6,2.34,-10.0,CROMPTON
2021-10-22 08:00:00,2.3,2.51,8.97,CROMPTON
2021-07-23 04:00:00,1.7,1.47,-13.53,CROMPTON
2021-05-21 08:00:00,2.36,3.94,67.19,CROMPTON
2021-01-22 06:00:00,2.11,2.39,13.27,CROMPTON
2020-10-22 08:00:00,1.56,2.24,43.59,CROMPTON
2020-07-24 05:00:00,0.23,1.17,401.44,CROMPTON
