earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-04-27 11:00:00,3.62,3.62,0.1,CUB
2026-02-02 06:00:00,3.48,3.35,-3.74,CUB
2025-11-03 07:00:00,2.81,3.31,17.91,CUB
2025-07-31 07:00:00,2.87,3.08,7.19,CUB
2025-05-02 06:00:00,2.9,2.9,-0.17,CUB
2025-01-31 06:00:00,2.76,2.87,4.22,CUB
2024-10-21 06:00:00,2.69,2.87,6.7,CUB
2024-07-26 07:00:00,2.52,2.66,5.36,CUB
2024-05-20 08:00:00,2.61,2.57,-1.72,CUB
2024-02-01 08:00:00,2.55,2.54,-0.29,CUB
2023-10-27 07:00:00,2.17,2.81,29.31,CUB
2023-08-11 07:00:00,2.21,2.29,3.39,CUB
2023-05-26 07:00:00,2.3,2.19,-4.78,CUB
2023-02-11 08:00:00,2.51,2.19,-12.84,CUB
2022-11-04 06:00:00,2.15,2.78,29.07,CUB
2022-08-08 06:00:00,1.69,2.26,33.78,CUB
2022-05-27 10:00:00,2.01,2.1,4.67,CUB
2022-02-04 07:00:00,1.82,1.97,8.04,CUB
2021-11-12 06:00:00,1.44,1.82,26.23,CUB
2021-08-06 06:00:00,1.3,1.73,33.27,CUB
2021-05-28 06:00:00,1.27,1.12,-12.35,CUB
2021-02-03 06:00:00,1.95,1.71,-12.31,CUB
2020-11-02 06:00:00,1.2,1.59,32.5,CUB
2020-08-13 07:00:00,0.86,1.55,80.0,CUB
