earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-04-23 07:00:00,14.41,9.35,-35.12,CYIENT
2026-01-22 06:00:00,13.55,10.92,-19.45,CYIENT
2025-10-16 06:00:00,13.16,10.13,-23.08,CYIENT
2025-07-23 20:00:00,13.55,13.86,2.26,CYIENT
2025-04-24 06:00:00,15.16,15.35,1.23,CYIENT
2025-01-23 08:00:00,15.3,11.02,-27.96,CYIENT
2024-10-24 07:00:00,14.98,16.14,7.71,CYIENT
2024-07-25 06:00:00,16.3,12.98,-20.37,CYIENT
2024-04-25 06:00:00,17.05,17.07,0.11,CYIENT
2024-01-25 05:00:00,17.23,16.77,-2.67,CYIENT
2023-10-19 06:00:00,16.46,16.54,0.49,CYIENT
2023-07-25 06:00:00,15.97,15.97,0.03,CYIENT
2023-04-20 06:00:00,14.59,15.94,9.3,CYIENT
2023-01-12 04:00:00,13.13,14.78,12.56,CYIENT
2022-10-13 07:00:00,11.02,8.63,-21.66,CYIENT
2022-07-21 06:00:00,10.65,10.57,-0.73,CYIENT
2022-04-21 06:00:00,11.62,14.03,20.73,CYIENT
2022-01-21 01:00:00,11.52,12.01,4.24,CYIENT
2021-10-14 06:00:00,11.29,11.05,-2.11,CYIENT
2021-07-15 09:00:00,10.0,10.44,4.38,CYIENT
2021-04-22 08:00:00,9.62,9.37,-2.62,CYIENT
2021-01-21 08:00:00,7.94,8.67,9.14,CYIENT
2020-10-15 09:00:00,7.06,7.63,8.01,CYIENT
2020-07-16 09:00:00,5.94,7.4,24.58,CYIENT
