earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-28 05:00:00,10.1,11.04,9.31,DEEPAKFERT
2026-01-29 04:00:00,13.4,11.21,-16.34,DEEPAKFERT
2025-11-05 04:00:00,20.95,16.89,-19.38,DEEPAKFERT
2025-07-29 09:00:00,17.9,19.26,7.6,DEEPAKFERT
2025-05-22 05:00:00,18.2,21.96,20.66,DEEPAKFERT
2025-01-29 03:00:00,16.05,19.86,23.74,DEEPAKFERT
2024-10-29 05:00:00,5.8,16.64,186.9,DEEPAKFERT
2024-07-31 03:00:00,12.75,15.49,21.49,DEEPAKFERT
2024-05-29 05:00:00,4.55,17.01,273.85,DEEPAKFERT
2024-02-01 02:00:00,5.95,4.56,-23.36,DEEPAKFERT
2023-11-02 04:00:00,8.05,4.76,-40.87,DEEPAKFERT
2023-07-26 05:00:00,19.55,8.72,-55.4,DEEPAKFERT
2023-05-17 05:00:00,16.4,20.19,23.11,DEEPAKFERT
2023-02-02 03:00:00,22.4,19.76,-11.79,DEEPAKFERT
2022-11-10 03:00:00,24.07,22.22,-7.67,DEEPAKFERT
2022-07-29 03:00:00,19.4,34.72,78.97,DEEPAKFERT
2022-05-25 04:00:00,13.6,22.3,63.97,DEEPAKFERT
2022-01-28 03:00:00,10.3,14.76,43.3,DEEPAKFERT
2020-11-03 03:00:00,6.21,8.51,37.04,DEEPAKFERT
2020-07-31 04:00:00,1.5,13.03,768.67,DEEPAKFERT
2019-06-27 02:00:00,2.9,0.51,-82.41,DEEPAKFERT
2019-02-14 08:00:00,2.6,1.38,-46.92,DEEPAKFERT
2018-11-13 07:00:00,3.5,2.1,-40.0,DEEPAKFERT
2018-08-09 09:00:00,4.6,4.22,-8.26,DEEPAKFERT
2018-05-30 13:00:00,6.8,4.37,-35.74,DEEPAKFERT
