earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-16 07:00:00,0.86,0.93,8.81,DELHIVERY
2026-01-31 06:00:00,0.56,0.88,55.79,DELHIVERY
2025-11-05 06:00:00,-0.31,-0.68,-116.36,DELHIVERY
2025-08-01 07:00:00,0.91,1.2,31.87,DELHIVERY
2025-05-16 07:00:00,0.25,0.96,287.88,DELHIVERY
2025-02-07 06:00:00,0.97,0.33,-66.05,DELHIVERY
2024-11-14 06:00:00,0.55,0.13,-76.36,DELHIVERY
2024-08-02 07:00:00,-1.0,0.79,178.8,DELHIVERY
2024-05-17 07:00:00,-0.57,-0.93,-63.16,DELHIVERY
2024-02-02 07:00:00,-0.93,0.2,121.48,DELHIVERY
2023-11-04 05:00:00,-1.05,-1.4,-32.91,DELHIVERY
2023-08-04 08:00:00,-2.21,-1.23,44.47,DELHIVERY
2023-05-19 08:00:00,-2.04,-2.14,-4.9,DELHIVERY
2023-02-10 07:00:00,-2.56,-2.65,-3.65,DELHIVERY
2022-11-11 09:00:00,-3.67,-3.43,6.54,DELHIVERY
2022-08-08 13:00:00,-1.58,-5.87,-271.52,DELHIVERY
