earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-13 09:00:00,22.51,20.04,-10.98,ECLERX
2026-01-28 08:00:00,19.55,19.9,1.76,ECLERX
2025-10-24 10:00:00,17.34,19.05,9.84,ECLERX
2025-07-24 10:00:00,14.06,14.82,5.41,ECLERX
2025-05-14 08:00:00,14.98,15.91,6.21,ECLERX
2025-01-29 09:00:00,14.96,14.28,-4.55,ECLERX
2024-11-05 08:00:00,13.31,14.58,9.5,ECLERX
2024-08-13 09:00:00,11.95,11.36,-4.94,ECLERX
2024-05-16 11:00:00,14.3,13.28,-7.19,ECLERX
2024-02-01 06:00:00,14.58,14.25,-2.28,ECLERX
2023-11-09 08:00:00,12.33,13.93,12.91,ECLERX
2023-08-09 09:00:00,12.33,10.91,-11.54,ECLERX
2023-05-25 09:00:00,13.08,13.33,1.91,ECLERX
2023-02-02 08:00:00,12.53,13.01,3.76,ECLERX
2022-11-10 07:00:00,14.35,12.47,-13.16,ECLERX
2022-08-09 08:00:00,11.12,9.81,-11.77,ECLERX
2022-05-24 08:00:00,11.12,11.72,5.37,ECLERX
2022-02-02 07:00:00,10.5,10.38,-1.14,ECLERX
2021-11-02 06:00:00,9.13,9.65,5.69,ECLERX
2021-08-13 08:00:00,8.87,8.85,-0.19,ECLERX
2021-06-10 08:00:00,7.58,9.6,26.64,ECLERX
2021-01-28 07:00:00,5.93,6.93,16.8,ECLERX
2020-11-05 05:00:00,5.35,5.9,10.34,ECLERX
2020-08-12 07:00:00,4.0,4.78,19.5,ECLERX
2020-06-09 07:00:00,5.48,5.12,-6.69,ECLERX
