earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-21 04:00:00,3.57,3.67,2.95,EMAMILTD
2026-02-04 04:00:00,6.87,7.54,9.72,EMAMILTD
2025-11-10 03:00:00,3.9,3.92,0.56,EMAMILTD
2025-07-31 04:00:00,3.77,4.22,11.92,EMAMILTD
2025-05-16 04:00:00,4.3,4.16,-3.33,EMAMILTD
2025-01-27 07:00:00,6.5,6.88,5.91,EMAMILTD
2024-11-07 05:00:00,4.56,5.38,18.01,EMAMILTD
2024-08-01 04:00:00,3.75,3.95,5.44,EMAMILTD
2024-05-29 05:00:00,3.77,3.87,2.76,EMAMILTD
2024-02-09 02:00:00,5.75,6.55,13.98,EMAMILTD
2023-11-06 05:00:00,3.93,4.58,16.62,EMAMILTD
2023-08-07 04:00:00,2.52,3.13,24.21,EMAMILTD
2023-05-25 06:00:00,2.2,4.12,87.1,EMAMILTD
2023-02-03 09:00:00,5.2,5.86,12.73,EMAMILTD
2022-11-11 04:00:00,2.85,4.69,64.56,EMAMILTD
2022-07-29 04:00:00,2.9,2.91,0.4,EMAMILTD
2022-05-13 04:00:00,2.75,4.64,68.85,EMAMILTD
2022-02-04 02:00:00,6.1,6.05,-0.89,EMAMILTD
2021-10-29 04:00:00,4.4,5.28,20.01,EMAMILTD
2021-08-02 04:00:00,2.6,2.85,9.42,EMAMILTD
2021-05-25 04:00:00,2.2,2.94,33.42,EMAMILTD
2021-01-27 02:00:00,5.5,5.82,5.83,EMAMILTD
2020-11-05 03:00:00,3.5,4.35,24.26,EMAMILTD
2020-08-07 03:00:00,0.75,1.87,149.96,EMAMILTD
