earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2024-10-29 05:00:00,1.7,1.77,4.12,ENGINERSIN
2024-02-02 07:00:00,1.88,1.13,-39.89,ENGINERSIN
2021-08-12 08:00:00,1.4,1.61,15.0,ENGINERSIN
2021-06-08 08:00:00,2.1,2.46,17.09,ENGINERSIN
2019-05-17 09:00:00,1.49,1.51,1.34,ENGINERSIN
2018-11-13 05:00:00,1.92,1.55,-19.27,ENGINERSIN
2018-08-09 05:00:00,1.48,1.37,-7.43,ENGINERSIN
2018-05-25 08:00:00,1.59,1.1,-30.82,ENGINERSIN
2018-01-30 05:00:00,1.41,1.71,21.71,ENGINERSIN
2017-10-25 07:00:00,1.66,1.81,9.04,ENGINERSIN
2017-05-22 11:00:00,1.25,0.98,-21.6,ENGINERSIN
2017-02-10 08:00:00,1.62,1.26,-22.06,ENGINERSIN
2016-11-16 08:00:00,1.1,1.4,26.82,ENGINERSIN
2016-05-25 13:00:00,1.6,1.04,-35.0,ENGINERSIN
2016-02-11 09:00:00,1.15,1.15,,ENGINERSIN
2015-08-11 04:00:00,1.25,0.85,-32.4,ENGINERSIN
2015-05-27 14:00:00,1.8,1.62,-10.28,ENGINERSIN
2014-11-07 14:00:00,1.5,0.87,-42.0,ENGINERSIN
2014-08-12 14:00:00,1.62,1.2,-26.12,ENGINERSIN
2014-05-23 09:00:00,2.38,1.54,-35.5,ENGINERSIN
2014-01-24 08:00:00,1.88,1.88,0.27,ENGINERSIN
2013-11-11 08:00:00,2.34,1.66,-28.91,ENGINERSIN
2013-08-05 09:00:00,2.62,1.92,-26.58,ENGINERSIN
2013-05-28 09:00:00,2.1,2.1,,ENGINERSIN
