earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-20 05:00:00,8.67,20.57,137.35,ERIS
2026-02-13 02:00:00,9.05,8.26,-8.77,ERIS
2025-11-12 03:00:00,9.2,8.81,-4.24,ERIS
2025-08-05 03:00:00,8.73,8.64,-1.07,ERIS
2025-05-19 06:00:00,7.1,6.89,-2.96,ERIS
2025-02-04 02:00:00,6.57,6.14,-6.5,ERIS
2024-10-25 03:00:00,7.2,6.72,-6.67,ERIS
2024-08-02 05:00:00,6.3,6.1,-3.17,ERIS
2024-05-21 06:00:00,6.77,5.21,-23.0,ERIS
2024-02-13 05:00:00,7.7,7.54,-2.08,ERIS
2023-11-08 03:00:00,7.84,9.06,15.56,ERIS
2020-11-03 03:00:00,6.46,7.93,22.76,ERIS
2020-08-04 04:00:00,3.64,6.55,79.95,ERIS
2020-06-02 03:00:00,4.12,4.12,,ERIS
2020-02-14 04:00:00,6.03,4.61,-23.55,ERIS
2019-11-07 04:00:00,6.37,6.73,5.65,ERIS
2019-05-21 06:00:00,5.78,3.93,-32.01,ERIS
2019-01-29 05:00:00,5.29,5.83,10.21,ERIS
2018-11-03 04:00:00,6.21,6.2,-0.16,ERIS
