earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-04-28 10:00:00,9.9,9.16,-7.47,FIVESTAR
2026-01-28 07:00:00,9.6,9.38,-2.29,FIVESTAR
2025-10-29 03:00:00,9.5,9.69,2.0,FIVESTAR
2025-07-28 09:00:00,9.6,9.02,-6.04,FIVESTAR
2025-04-29 08:00:00,9.7,9.55,-1.55,FIVESTAR
2025-01-31 07:00:00,9.4,9.35,-0.53,FIVESTAR
2024-10-29 04:00:00,9.2,9.07,-1.41,FIVESTAR
2024-07-31 03:00:00,8.6,8.53,-0.81,FIVESTAR
2024-04-30 09:00:00,7.6,8.01,5.39,FIVESTAR
2024-02-01 02:00:00,7.2,7.37,2.36,FIVESTAR
2023-10-31 06:00:00,6.7,6.77,1.04,FIVESTAR
2023-07-29 03:00:00,5.9,6.24,5.76,FIVESTAR
2023-05-09 07:00:00,5.3,5.73,8.11,FIVESTAR
