earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2016-08-23 11:00:00,22.71,14.4,-36.59,GILLETTE
2016-02-04 09:00:00,12.54,15.95,27.19,GILLETTE
2015-11-07 09:00:00,16.14,10.22,-36.68,GILLETTE
2015-08-29 14:00:00,9.65,22.35,131.61,GILLETTE
2015-05-08 15:00:00,11.64,9.44,-18.9,GILLETTE
2015-02-12 15:00:00,4.76,11.31,137.61,GILLETTE
2014-10-31 04:00:00,4.76,5.43,14.08,GILLETTE
2014-08-12 15:00:00,4.31,5.14,19.32,GILLETTE
2014-05-06 13:00:00,5.29,2.6,-50.85,GILLETTE
2013-10-31 09:00:00,5.64,4.65,-17.55,GILLETTE
2013-08-06 09:00:00,5.73,5.06,-11.69,GILLETTE
