earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-15 06:00:00,15.78,22.23,40.9,GLAND
2026-01-28 06:00:00,14.39,16.98,18.0,GLAND
2025-11-03 06:00:00,12.97,11.15,-14.0,GLAND
2025-08-05 07:00:00,13.28,13.33,0.37,GLAND
2025-05-20 07:00:00,14.13,11.32,-19.91,GLAND
2025-02-03 06:00:00,12.17,12.42,2.07,GLAND
2024-11-04 07:00:00,10.92,9.93,-9.05,GLAND
2024-08-06 07:00:00,13.52,8.73,-35.44,GLAND
2024-05-22 08:00:00,14.07,11.68,-16.99,GLAND
2024-02-14 05:00:00,13.84,11.65,-15.84,GLAND
2023-11-06 05:00:00,12.35,11.78,-4.64,GLAND
2023-08-07 06:00:00,12.15,11.78,-3.01,GLAND
2023-05-18 07:00:00,13.92,7.21,-48.22,GLAND
2023-01-23 07:00:00,16.65,14.08,-15.41,GLAND
2022-10-26 06:00:00,15.98,14.65,-8.29,GLAND
2022-07-20 06:00:00,17.23,13.92,-19.23,GLAND
2022-05-19 06:00:00,17.7,17.36,-1.92,GLAND
2022-01-21 06:00:00,18.68,16.62,-11.0,GLAND
2021-10-22 06:00:00,20.12,18.37,-8.68,GLAND
2021-07-21 06:00:00,19.3,21.37,10.73,GLAND
