earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-06 06:00:00,4.99,5.05,1.19,GODREJCP
2026-01-23 05:00:00,5.68,5.5,-3.12,GODREJCP
2025-10-31 07:00:00,5.09,4.28,-15.91,GODREJCP
2025-08-07 06:00:00,4.87,4.28,-12.01,GODREJCP
2025-05-05 21:00:00,4.77,4.22,-11.39,GODREJCP
2025-01-24 05:00:00,5.13,4.91,-4.28,GODREJCP
2024-10-24 06:00:00,4.88,4.84,-0.77,GODREJCP
2024-08-07 06:00:00,4.83,4.55,-5.81,GODREJCP
2024-05-06 13:00:00,4.64,4.72,1.79,GODREJCP
2024-01-31 05:00:00,5.35,5.73,7.17,GODREJCP
2023-11-01 07:00:00,4.69,4.32,-8.01,GODREJCP
2023-08-07 07:00:00,4.5,4.38,-2.74,GODREJCP
2023-05-10 06:00:00,4.41,4.6,4.24,GODREJCP
2023-01-31 02:00:00,5.26,5.4,2.66,GODREJCP
2022-11-08 04:00:00,4.29,3.68,-14.18,GODREJCP
2022-08-03 03:00:00,3.73,3.39,-9.16,GODREJCP
2022-05-19 06:00:00,4.02,3.74,-6.88,GODREJCP
2022-02-08 02:00:00,4.84,4.78,-1.24,GODREJCP
2021-11-11 04:00:00,4.67,4.69,0.37,GODREJCP
2021-08-04 05:00:00,4.93,4.06,-17.53,GODREJCP
2021-05-11 06:00:00,3.93,4.12,4.91,GODREJCP
2021-02-08 04:00:00,4.68,4.86,3.88,GODREJCP
2020-11-05 05:00:00,4.44,4.48,0.97,GODREJCP
2020-08-04 06:00:00,2.95,2.93,-0.64,GODREJCP
