earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-19 08:00:00,3.7,4.61,24.5,GPIL
2026-02-06 06:00:00,2.7,2.25,-16.67,GPIL
2025-11-14 06:00:00,2.8,2.61,-6.79,GPIL
2025-08-05 07:00:00,4.0,3.5,-12.5,GPIL
2025-02-12 06:00:00,16.3,2.34,-85.64,GPIL
2024-10-26 06:00:00,3.64,12.84,252.75,GPIL
2024-08-07 05:00:00,3.74,4.56,21.93,GPIL
2024-05-21 07:00:00,3.66,3.5,-4.49,GPIL
2024-02-06 05:00:00,3.72,3.68,-1.18,GPIL
2019-04-30 05:00:00,1.31,0.86,-33.89,GPIL
2016-02-13 09:00:00,-0.53,-0.54,-1.03,GPIL
2015-11-07 10:00:00,-0.33,-0.23,30.98,GPIL
2015-08-11 05:00:00,-0.05,-0.01,75.61,GPIL
2015-05-16 14:00:00,0.14,-0.27,-286.16,GPIL
2015-02-10 10:00:00,0.33,0.11,-68.37,GPIL
2014-11-11 10:00:00,0.28,0.28,-0.35,GPIL
2014-08-11 05:00:00,0.06,0.35,538.85,GPIL
2013-11-11 00:00:00,0.27,0.13,-52.83,GPIL
2013-08-05 01:00:00,0.31,0.28,-10.72,GPIL
2013-05-28 09:00:00,0.34,0.92,171.76,GPIL
2013-02-09 12:00:00,0.3,0.25,-17.7,GPIL
2012-11-03 13:00:00,0.18,0.34,91.71,GPIL
2011-11-09 05:00:00,0.2,0.17,-14.1,GPIL
2011-08-08 09:00:00,0.48,0.48,0.94,GPIL
2011-08-05 20:00:00,0.42,0.59,41.66,GPIL
