earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-28 04:00:00,5.1,-5.31,-204.12,GRAPHITE
2026-02-09 02:00:00,4.4,4.44,0.99,GRAPHITE
2020-06-09 03:00:00,1.31,-0.37,-128.24,GRAPHITE
2019-08-12 03:00:00,39.59,11.24,-71.61,GRAPHITE
2019-05-18 07:00:00,35.73,30.66,-14.2,GRAPHITE
2018-11-06 03:00:00,34.27,46.59,35.95,GRAPHITE
2018-08-06 04:00:00,19.99,44.0,120.11,GRAPHITE
2018-01-30 04:00:00,2.53,17.43,588.93,GRAPHITE
2017-10-23 05:00:00,1.53,4.6,200.65,GRAPHITE
2017-08-04 02:00:00,0.91,1.51,65.93,GRAPHITE
2014-08-12 10:00:00,2.27,1.41,-37.89,GRAPHITE
2014-05-09 13:00:00,2.53,2.3,-9.09,GRAPHITE
2013-11-08 04:00:00,2.21,2.28,3.17,GRAPHITE
2013-08-05 09:00:00,2.21,2.01,-9.05,GRAPHITE
2013-02-20 10:00:00,3.05,1.77,-41.97,GRAPHITE
2010-10-22 09:00:00,2.0,1.89,-5.5,GRAPHITE
