earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-20 05:00:00,-1.65,-1.59,3.86,GRASIM
2026-02-10 07:00:00,-2.0,-2.06,-3.03,GRASIM
2025-11-05 03:00:00,12.5,11.84,-5.28,GRASIM
2025-08-08 04:00:00,-4.7,-1.74,62.98,GRASIM
2025-05-22 10:00:00,-2.1,-2.95,-40.71,GRASIM
2025-02-10 09:00:00,-1.4,-2.53,-80.71,GRASIM
2024-11-14 09:00:00,14.3,11.33,-20.78,GRASIM
2024-08-09 05:00:00,3.5,-0.79,-122.57,GRASIM
2024-05-22 12:00:00,2.3,4.14,80.11,GRASIM
2024-02-08 09:00:00,26.14,23.05,-11.82,GRASIM
2023-11-13 09:00:00,26.31,17.71,-32.69,GRASIM
2023-08-10 04:00:00,0.7,5.41,672.86,GRASIM
2023-05-26 04:00:00,6.2,1.42,-77.1,GRASIM
2023-02-14 04:00:00,31.89,38.27,20.01,GRASIM
2022-11-14 03:00:00,14.4,15.7,9.0,GRASIM
2022-08-12 04:00:00,9.3,12.29,32.15,GRASIM
2022-05-24 06:00:00,8.0,14.86,85.76,GRASIM
2022-02-14 03:00:00,8.5,7.44,-12.47,GRASIM
2021-11-12 08:00:00,15.1,14.4,-4.64,GRASIM
2021-08-13 04:00:00,5.3,7.0,32.08,GRASIM
2021-05-24 06:00:00,6.3,7.32,16.14,GRASIM
2021-02-12 03:00:00,4.2,5.06,20.48,GRASIM
2020-11-12 06:00:00,-1.0,5.48,648.0,GRASIM
2020-08-13 05:00:00,-1.4,-3.5,-150.06,GRASIM
