earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-04-16 03:00:00,21.65,14.49,-33.07,HDFCAMC
2026-01-14 04:00:00,33.9,17.91,-47.17,HDFCAMC
2025-10-15 05:00:00,14.49,16.71,15.33,HDFCAMC
2025-07-17 04:00:00,16.22,17.41,7.35,HDFCAMC
2025-04-17 05:00:00,14.2,14.89,4.82,HDFCAMC
2025-01-14 04:00:00,13.65,14.96,9.56,HDFCAMC
2024-10-15 05:00:00,12.85,13.45,4.63,HDFCAMC
2024-07-15 05:00:00,13.43,14.09,4.95,HDFCAMC
2024-04-19 06:00:00,11.88,12.63,6.36,HDFCAMC
2024-01-11 03:00:00,11.25,11.46,1.82,HDFCAMC
2023-10-12 04:00:00,9.13,10.25,12.27,HDFCAMC
2023-07-24 04:00:00,7.88,11.19,42.03,HDFCAMC
2023-04-25 05:00:00,8.33,8.81,5.78,HDFCAMC
2023-01-24 04:00:00,8.52,8.65,1.57,HDFCAMC
2022-10-19 04:00:00,7.8,8.53,9.36,HDFCAMC
2022-07-22 04:00:00,8.0,7.36,-7.94,HDFCAMC
2022-04-27 07:00:00,6.07,8.05,32.56,HDFCAMC
2022-01-24 05:00:00,9.27,8.43,-9.04,HDFCAMC
2021-10-25 06:00:00,9.26,8.07,-12.8,HDFCAMC
2021-07-16 04:00:00,8.5,8.1,-4.76,HDFCAMC
2021-04-27 06:00:00,9.28,7.41,-20.18,HDFCAMC
2021-01-20 05:00:00,7.85,8.65,10.25,HDFCAMC
2020-10-22 07:00:00,7.77,7.93,1.99,HDFCAMC
2020-07-23 04:00:00,7.28,7.09,-2.61,HDFCAMC
