earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-04-29 08:00:00,11.9,-8.46,-171.09,HEG
2020-06-17 08:00:00,-3.65,-18.97,-420.19,HEG
2019-08-14 08:00:00,39.03,12.15,-68.88,HEG
2019-05-20 08:00:00,49.69,26.28,-47.12,HEG
2019-02-19 01:00:00,39.08,43.39,11.01,HEG
2015-02-09 06:00:00,0.88,0.52,-40.18,HEG
2014-11-14 23:00:00,1.32,0.55,-58.14,HEG
2014-07-30 11:00:00,1.73,1.04,-39.91,HEG
2014-04-21 13:00:00,2.52,2.4,-4.85,HEG
2013-08-13 09:00:00,1.82,0.3,-83.5,HEG
2010-05-02 21:00:00,2.4,1.49,-37.86,HEG
2009-10-30 09:00:00,2.5,2.07,-17.07,HEG
2009-05-01 20:00:00,1.18,1.12,-5.08,HEG
2009-01-31 02:00:00,0.58,0.99,71.03,HEG
2008-07-31 11:00:00,1.6,1.26,-21.5,HEG
