earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-05 09:00:00,70.46,69.96,-0.71,HEROMOTOCO
2026-02-05 10:00:00,69.46,71.86,3.46,HEROMOTOCO
2025-11-13 08:00:00,69.4,69.54,0.2,HEROMOTOCO
2025-08-06 08:00:00,53.18,56.22,5.72,HEROMOTOCO
2025-05-13 05:00:00,55.48,53.99,-2.68,HEROMOTOCO
2025-02-06 08:00:00,56.79,60.07,5.77,HEROMOTOCO
2024-11-14 08:00:00,57.3,60.06,4.81,HEROMOTOCO
2024-08-13 09:00:00,59.4,56.04,-5.65,HEROMOTOCO
2024-05-08 05:00:00,50.76,50.74,-0.04,HEROMOTOCO
2024-02-09 07:00:00,52.28,53.6,2.53,HEROMOTOCO
2023-11-01 07:00:00,50.03,52.61,5.17,HEROMOTOCO
2023-08-10 08:00:00,45.01,47.26,5.0,HEROMOTOCO
2023-05-04 07:00:00,37.82,42.94,13.55,HEROMOTOCO
2023-02-07 07:00:00,33.29,35.54,6.77,HEROMOTOCO
2022-11-03 08:00:00,36.6,34.41,-5.98,HEROMOTOCO
2022-08-12 08:00:00,36.86,31.25,-15.22,HEROMOTOCO
2022-05-03 11:00:00,30.14,31.37,4.08,HEROMOTOCO
2022-02-10 11:00:00,33.4,34.33,2.8,HEROMOTOCO
2021-11-12 10:00:00,36.35,39.75,9.36,HEROMOTOCO
2021-08-12 08:00:00,24.89,18.29,-26.51,HEROMOTOCO
2021-05-06 11:00:00,38.85,43.28,11.41,HEROMOTOCO
2021-02-04 11:00:00,45.74,54.29,18.69,HEROMOTOCO
2020-10-28 11:00:00,46.14,47.73,3.44,HEROMOTOCO
2020-08-13 12:00:00,4.28,3.07,-28.23,HEROMOTOCO
