earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-04-30 01:00:00,11.3,11.95,5.76,HINDUNILVR
2026-02-11 23:00:00,51.08,30.08,-41.11,HINDUNILVR
2025-10-23 01:00:00,10.62,10.85,2.2,HINDUNILVR
2025-07-31 00:00:00,10.8,12.18,12.78,HINDUNILVR
2025-04-24 00:00:00,9.91,10.68,7.79,HINDUNILVR
2025-01-22 05:00:00,11.22,11.14,-0.79,HINDUNILVR
2024-10-23 07:00:00,11.48,11.08,-3.44,HINDUNILVR
2024-07-23 06:00:00,11.22,11.26,0.37,HINDUNILVR
2024-04-24 06:00:00,10.3,10.64,3.27,HINDUNILVR
2024-01-19 05:00:00,11.05,10.77,-2.51,HINDUNILVR
2023-10-19 06:00:00,10.95,11.58,5.74,HINDUNILVR
2023-07-20 06:00:00,11.1,10.99,-1.03,HINDUNILVR
2023-04-27 02:00:00,11.2,10.81,-3.48,HINDUNILVR
2023-01-19 08:00:00,10.7,10.85,1.47,HINDUNILVR
2022-10-21 07:00:00,10.3,11.45,11.18,HINDUNILVR
2022-07-19 07:00:00,9.22,9.78,6.01,HINDUNILVR
2022-04-27 07:00:00,10.35,9.72,-6.12,HINDUNILVR
2022-01-20 05:00:00,9.77,9.76,-0.11,HINDUNILVR
2021-10-19 04:00:00,9.63,9.31,-3.28,HINDUNILVR
2021-07-22 03:00:00,8.92,8.86,-0.71,HINDUNILVR
2021-04-29 03:00:00,8.39,9.07,8.14,HINDUNILVR
2021-01-27 05:00:00,8.72,8.31,-4.71,HINDUNILVR
2020-10-20 04:00:00,8.73,8.66,-0.81,HINDUNILVR
2020-07-21 07:00:00,7.68,8.4,9.41,HINDUNILVR
