earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-20 07:00:00,154.2,181.35,17.61,HONAUT
2026-02-02 07:00:00,178.3,146.56,-17.8,HONAUT
2025-11-05 06:00:00,176.8,135.13,-23.57,HONAUT
2025-08-01 07:00:00,167.6,140.95,-15.9,HONAUT
2025-05-13 08:00:00,195.0,158.26,-18.84,HONAUT
2025-02-07 05:00:00,180.15,149.35,-17.1,HONAUT
2024-10-29 07:00:00,170.6,130.18,-23.69,HONAUT
2024-08-05 05:00:00,162.53,154.34,-5.04,HONAUT
2024-05-15 07:00:00,161.25,167.59,3.93,HONAUT
2024-02-08 06:00:00,156.1,144.6,-7.37,HONAUT
2023-08-10 06:00:00,142.5,116.99,-17.9,HONAUT
2023-05-17 09:00:00,121.22,126.71,4.53,HONAUT
2023-02-08 07:00:00,147.28,119.97,-18.54,HONAUT
2022-11-08 04:00:00,135.19,133.39,-1.33,HONAUT
2022-08-13 04:00:00,94.77,115.33,21.69,HONAUT
2021-11-13 09:00:00,146.05,96.36,-34.02,HONAUT
2021-08-05 09:00:00,140.0,103.52,-26.06,HONAUT
2021-05-31 10:00:00,173.5,117.65,-32.19,HONAUT
2020-05-22 07:00:00,158.69,125.7,-20.79,HONAUT
