earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-16 08:00:00,-0.54,-0.51,4.72,IDEA
2026-01-27 09:00:00,-0.59,-0.59,-0.16,IDEA
2025-11-10 07:00:00,-0.67,-0.51,23.53,IDEA
2025-08-14 08:00:00,-0.64,-0.63,0.97,IDEA
2025-05-30 13:00:00,-1.54,-1.01,34.31,IDEA
2025-02-11 08:00:00,-1.07,-0.95,11.24,IDEA
2024-11-13 07:00:00,-1.3,-1.03,20.47,IDEA
2024-08-12 09:00:00,-1.78,-1.03,42.3,IDEA
2024-05-16 09:00:00,-1.51,-1.57,-3.79,IDEA
2024-01-29 08:00:00,-1.41,-1.59,-12.91,IDEA
2023-10-26 09:00:00,-1.8,-1.79,0.56,IDEA
2023-08-14 10:00:00,-1.38,-1.61,-16.3,IDEA
2023-05-25 11:00:00,-2.01,-1.52,23.99,IDEA
2023-02-14 10:00:00,-2.2,-2.49,-13.25,IDEA
2022-11-03 09:00:00,-2.17,-1.46,32.72,IDEA
2022-08-03 08:00:00,-1.97,-2.27,-15.37,IDEA
2022-05-10 08:00:00,-2.27,-2.28,-0.29,IDEA
2022-01-21 12:00:00,-2.24,-2.51,-12.23,IDEA
2021-11-12 04:00:00,-2.42,-2.49,-2.59,IDEA
2021-08-14 10:00:00,-1.91,-2.55,-33.59,IDEA
2021-06-30 10:00:00,-2.14,-2.1,1.85,IDEA
2021-02-13 05:00:00,-1.83,-2.17,-18.19,IDEA
2020-10-29 08:00:00,-1.55,-2.24,-44.81,IDEA
2020-08-06 06:00:00,-1.53,-1.93,-25.71,IDEA
