earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-04-23 08:00:00,1.55,1.45,-6.45,IEX
2026-01-29 03:00:00,1.3,1.34,3.08,IEX
2025-10-30 07:00:00,1.4,1.39,-0.71,IEX
2025-07-24 07:00:00,1.2,1.27,5.83,IEX
2025-04-24 08:00:00,1.2,1.32,10.0,IEX
2025-01-23 07:00:00,1.2,1.21,0.83,IEX
2024-10-24 07:00:00,1.3,1.22,-6.15,IEX
2024-07-24 06:00:00,1.05,1.05,,IEX
2024-05-15 11:00:00,1.1,1.09,-0.91,IEX
2024-01-25 05:00:00,1.0,1.03,3.0,IEX
2023-11-02 06:00:00,0.9,0.97,7.78,IEX
2023-05-25 03:00:00,0.92,0.93,0.89,IEX
2023-01-20 08:00:00,0.8,0.79,-1.39,IEX
2022-10-20 08:00:00,0.8,0.78,-2.01,IEX
2022-07-25 06:00:00,0.79,0.77,-2.84,IEX
2022-04-27 08:00:00,0.81,0.9,11.39,IEX
2022-01-24 08:00:00,0.77,0.89,15.71,IEX
2021-10-21 09:00:00,0.79,0.87,9.68,IEX
2021-07-22 08:00:00,0.7,0.71,1.43,IEX
2021-05-13 07:00:00,0.69,0.71,2.9,IEX
2021-01-21 08:00:00,0.57,0.67,18.38,IEX
2020-10-20 08:00:00,0.52,0.52,-0.02,IEX
2020-05-14 10:00:00,0.48,0.53,10.15,IEX
2020-01-31 08:00:00,0.52,0.47,-8.39,IEX
