earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-04-30 06:00:00,21.3,11.54,-45.82,INDIAMART
2026-01-20 05:00:00,25.0,34.2,36.8,INDIAMART
2025-10-17 06:00:00,23.3,13.85,-40.56,INDIAMART
2025-07-18 06:00:00,23.85,27.59,15.68,INDIAMART
2025-04-29 06:00:00,23.1,38.48,66.58,INDIAMART
2025-01-21 05:00:00,24.4,20.78,-14.84,INDIAMART
2024-10-19 04:00:00,21.0,21.12,0.57,INDIAMART
2024-07-30 05:00:00,18.45,20.65,11.92,INDIAMART
2024-04-30 06:00:00,15.6,15.37,-1.47,INDIAMART
2024-01-18 04:00:00,14.7,15.26,3.81,INDIAMART
2023-10-27 05:00:00,16.6,13.54,-18.43,INDIAMART
2023-07-20 07:00:00,13.17,15.55,18.07,INDIAMART
2023-04-28 05:00:00,10.36,9.14,-11.8,INDIAMART
2023-01-19 07:00:00,11.77,18.45,56.8,INDIAMART
2022-10-20 05:00:00,11.05,11.18,1.18,INDIAMART
2022-07-21 06:00:00,9.45,7.6,-19.58,INDIAMART
2022-04-28 06:00:00,10.55,9.34,-11.52,INDIAMART
2022-01-24 08:00:00,13.45,11.42,-15.09,INDIAMART
2021-10-21 06:00:00,13.45,13.36,-0.71,INDIAMART
2021-07-22 06:00:00,13.35,14.31,7.15,INDIAMART
2021-04-29 06:00:00,13.15,9.27,-29.51,INDIAMART
2021-01-18 05:00:00,11.7,13.6,16.2,INDIAMART
2020-11-09 05:00:00,9.8,11.88,21.17,INDIAMART
2020-07-21 06:00:00,6.7,12.6,88.06,INDIAMART
