earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2015-05-08 10:00:00,0.5,-0.92,-285.0,IOB
2014-10-30 09:00:00,1.9,-1.99,-204.74,IOB
2014-07-26 11:00:00,2.4,2.2,-8.33,IOB
2014-04-29 05:00:00,1.4,-0.1,-106.93,IOB
2014-01-29 03:00:00,1.6,0.78,-51.25,IOB
2013-10-25 05:00:00,0.7,1.43,104.29,IOB
2013-07-25 17:00:00,2.5,1.36,-45.6,IOB
2013-04-29 05:00:00,3.3,0.72,-78.18,IOB
2013-01-29 23:00:00,2.9,1.46,-49.66,IOB
2012-10-26 01:00:00,3.3,1.99,-39.7,IOB
2010-01-28 01:00:00,6.0,2.15,-64.17,IOB
2009-10-29 03:00:00,5.75,4.96,-13.74,IOB
2009-07-29 03:00:00,5.1,5.54,8.63,IOB
2009-05-04 07:00:00,6.1,6.14,0.66,IOB
2009-01-30 01:00:00,6.2,7.13,15.0,IOB
2008-10-30 10:00:00,5.9,4.36,-26.1,IOB
2008-07-28 08:00:00,4.93,4.7,-4.57,IOB
2008-04-27 20:00:00,4.95,5.62,13.54,IOB
2008-01-14 19:00:00,5.7,5.24,-8.04,IOB
2007-11-09 07:00:00,5.25,5.87,11.81,IOB
2007-07-27 03:00:00,8.0,3.98,-50.25,IOB
2007-04-23 07:00:00,4.4,5.27,19.77,IOB
