earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-18 12:00:00,6.29,8.26,31.37,IOC
2026-02-05 03:00:00,7.88,8.81,11.75,IOC
2025-10-27 06:00:00,3.66,5.53,51.21,IOC
2025-08-14 04:00:00,6.52,4.13,-36.62,IOC
2025-04-30 05:00:00,1.15,5.28,359.08,IOC
2025-01-27 04:00:00,4.14,1.68,-59.41,IOC
2024-10-28 05:00:00,2.88,0.69,-75.97,IOC
2024-07-30 05:00:00,1.4,1.92,37.14,IOC
2024-04-30 05:00:00,7.05,3.74,-46.93,IOC
2024-01-24 04:00:00,3.73,6.56,75.68,IOC
2023-10-31 04:00:00,10.22,9.53,-6.75,IOC
2023-07-28 04:00:00,5.91,10.48,77.47,IOC
2023-05-16 03:00:00,8.23,7.47,-9.23,IOC
2023-01-31 01:00:00,2.52,0.56,-77.78,IOC
2022-10-29 07:00:00,-4.8,-0.72,85.0,IOC
2022-07-29 05:00:00,0.9,-0.2,-122.35,IOC
2022-05-17 06:00:00,6.25,4.37,-30.06,IOC
2022-01-31 07:00:00,5.42,4.25,-21.55,IOC
2021-10-30 04:00:00,2.76,4.62,67.66,IOC
2021-07-30 03:00:00,2.99,4.31,44.15,IOC
2021-05-19 05:00:00,3.81,6.37,67.47,IOC
2021-01-29 02:00:00,3.2,3.57,11.51,IOC
2020-10-30 04:00:00,2.11,4.52,113.74,IOC
2020-07-30 20:00:00,2.25,1.39,-38.46,IOC
