earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-22 05:00:00,2.1,2.04,-2.86,IRCON
2026-02-11 06:00:00,1.7,0.97,-42.94,IRCON
2025-11-12 07:00:00,1.35,1.96,45.19,IRCON
2025-08-06 08:00:00,1.27,1.6,25.98,IRCON
2025-05-21 08:00:00,1.6,2.32,45.0,IRCON
2025-02-11 08:00:00,2.5,1.5,-40.0,IRCON
2024-11-07 07:00:00,1.91,2.15,12.57,IRCON
2024-08-08 08:00:00,1.88,1.88,,IRCON
2024-05-21 07:00:00,2.36,3.04,28.81,IRCON
2024-02-08 07:00:00,2.03,1.97,-2.96,IRCON
2023-11-09 04:00:00,1.7,2.45,44.12,IRCON
2020-08-25 07:00:00,0.88,0.37,-58.29,IRCON
2020-07-10 08:00:00,1.53,6.51,325.21,IRCON
2020-02-11 07:00:00,1.27,1.47,15.63,IRCON
2019-11-13 08:00:00,1.59,0.93,-41.24,IRCON
