earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-21 05:00:00,4.0,4.28,7.12,ITC
2026-01-29 08:00:00,4.2,4.23,0.72,ITC
2025-10-30 07:00:00,4.15,4.08,-1.76,ITC
2025-08-01 07:00:00,3.96,3.92,-0.95,ITC
2025-05-22 07:00:00,3.9,4.02,3.03,ITC
2025-02-06 08:00:00,4.1,4.5,9.76,ITC
2024-10-24 09:00:00,17.0,3.99,-76.53,ITC
2024-08-01 06:00:00,4.24,4.07,-3.97,ITC
2024-05-23 04:00:00,4.0,4.1,2.53,ITC
2024-01-29 08:00:00,4.03,4.45,10.5,ITC
2023-10-19 10:00:00,3.97,3.95,-0.4,ITC
2023-08-14 07:00:00,3.68,4.1,11.41,ITC
2023-05-18 05:00:00,3.88,4.12,6.17,ITC
2023-02-03 06:00:00,3.71,4.03,8.63,ITC
2022-10-20 10:00:00,3.14,3.72,18.47,ITC
2022-08-01 07:00:00,3.23,3.56,10.22,ITC
2022-05-18 08:00:00,3.74,3.4,-9.09,ITC
2022-02-03 09:00:00,3.24,3.29,1.54,ITC
2021-10-27 10:00:00,3.12,3.02,-3.21,ITC
2021-07-24 10:00:00,3.38,2.66,-21.3,ITC
2021-06-01 09:00:00,2.98,3.05,2.35,ITC
2021-02-11 09:00:00,2.94,2.98,1.29,ITC
2020-11-06 10:00:00,2.53,2.62,3.66,ITC
2020-07-24 09:00:00,2.02,1.91,-5.55,ITC
