earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-05 16:00:00,1.63,1.75,7.09,J&KBANK
2026-02-03 16:00:00,1.5,1.53,1.78,J&KBANK
2025-11-20 06:00:00,1.68,1.75,4.18,J&KBANK
2025-08-05 06:00:00,1.54,1.62,5.44,J&KBANK
2025-05-06 06:00:00,1.38,1.43,3.54,J&KBANK
2025-02-04 06:00:00,1.26,1.33,5.74,J&KBANK
2024-11-19 06:00:00,1.37,1.37,-0.34,J&KBANK
2024-08-06 06:00:00,1.96,1.96,-0.1,J&KBANK
2024-05-07 06:00:00,1.86,1.91,2.86,J&KBANK
2024-02-06 06:00:00,1.56,2.02,29.55,J&KBANK
2023-11-21 06:00:00,2.02,1.9,-5.79,J&KBANK
2023-08-08 06:00:00,1.82,1.82,-0.02,J&KBANK
2023-05-09 06:00:00,1.78,1.81,1.79,J&KBANK
2023-02-07 06:00:00,1.61,1.67,3.67,J&KBANK
2022-11-21 06:00:00,1.77,1.8,1.54,J&KBANK
2022-08-01 06:00:00,1.8,1.86,3.4,J&KBANK
2022-05-03 06:00:00,1.68,1.72,2.3,J&KBANK
2022-02-08 06:00:00,1.58,1.56,-1.2,J&KBANK
2021-11-23 06:00:00,1.57,1.58,0.51,J&KBANK
2021-08-03 06:00:00,1.52,1.64,7.62,J&KBANK
2021-05-10 06:00:00,1.39,1.66,19.55,J&KBANK
2021-02-09 06:00:00,1.29,1.41,9.44,J&KBANK
2020-11-24 06:00:00,1.32,1.63,23.22,J&KBANK
2020-08-03 08:00:00,1.01,1.26,24.33,J&KBANK
