earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2021-11-11 07:00:00,0.94,1.07,13.83,JBMA
2021-08-11 03:00:00,0.36,0.51,42.78,JBMA
2021-05-18 03:00:00,0.96,1.38,44.17,JBMA
2021-02-09 01:00:00,0.88,0.93,5.45,JBMA
2020-11-12 02:00:00,0.4,0.87,116.5,JBMA
2020-09-12 02:00:00,-0.96,-1.09,-14.2,JBMA
2020-06-30 04:00:00,1.11,0.66,-40.65,JBMA
2020-02-03 05:00:00,0.84,0.76,-8.61,JBMA
2019-10-31 03:00:00,0.66,0.8,20.91,JBMA
2019-08-12 04:00:00,0.82,0.74,-9.76,JBMA
2019-05-28 04:00:00,1.01,1.12,11.33,JBMA
2018-11-13 04:00:00,1.05,1.02,-2.1,JBMA
2018-08-06 06:00:00,1.07,1.01,-6.33,JBMA
2018-05-15 04:00:00,0.92,0.99,7.86,JBMA
2018-02-14 10:00:00,0.94,0.74,-21.06,JBMA
2017-12-14 04:00:00,1.24,0.92,-25.24,JBMA
2017-09-04 05:00:00,0.83,0.8,-3.38,JBMA
2017-05-30 12:00:00,0.78,0.65,-16.24,JBMA
2017-02-09 09:00:00,0.84,0.74,-12.14,JBMA
2015-05-18 13:00:00,1.19,0.84,-29.51,JBMA
2015-02-06 07:00:00,0.95,1.13,18.24,JBMA
2014-11-13 09:00:00,1.32,0.74,-43.89,JBMA
