earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-04-27 08:00:00,5.0,2.18,-56.4,JINDALSAW
2025-10-17 05:00:00,4.1,2.17,-47.05,JINDALSAW
2025-05-02 05:00:00,7.5,4.56,-39.2,JINDALSAW
2025-01-24 03:00:00,7.1,7.92,11.55,JINDALSAW
2024-10-18 07:00:00,6.5,7.81,20.15,JINDALSAW
2024-07-29 08:00:00,5.8,6.9,18.97,JINDALSAW
2024-01-16 03:00:00,5.55,8.36,50.63,JINDALSAW
2023-10-26 05:00:00,3.9,5.91,51.54,JINDALSAW
2023-08-11 05:00:00,2.1,4.14,97.14,JINDALSAW
2023-05-17 08:00:00,2.55,5.57,118.43,JINDALSAW
2023-01-25 05:00:00,1.7,3.38,98.53,JINDALSAW
2022-11-11 10:00:00,0.6,1.06,77.24,JINDALSAW
2020-06-27 04:00:00,2.4,0.61,-74.62,JINDALSAW
2020-02-04 05:00:00,2.21,2.24,1.37,JINDALSAW
2019-10-31 06:00:00,2.33,5.58,140.11,JINDALSAW
2019-05-22 08:00:00,2.26,2.38,5.53,JINDALSAW
2019-01-28 02:00:00,1.85,2.35,27.37,JINDALSAW
2018-11-12 05:00:00,1.24,1.57,27.13,JINDALSAW
2018-08-11 01:00:00,1.35,1.49,10.0,JINDALSAW
2018-05-25 07:00:00,2.42,2.48,2.06,JINDALSAW
2018-01-24 04:00:00,1.32,1.84,39.92,JINDALSAW
2017-11-07 05:00:00,1.28,0.94,-26.56,JINDALSAW
2017-05-29 05:00:00,1.61,1.75,8.76,JINDALSAW
2015-07-27 13:00:00,1.25,1.63,30.4,JINDALSAW
2015-05-07 10:00:00,1.25,1.12,-11.16,JINDALSAW
