earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-26 07:00:00,8.4,7.36,-12.35,JKTYRE
2025-05-20 08:00:00,3.2,3.61,12.87,JKTYRE
2025-02-04 06:00:00,5.8,2.34,-59.71,JKTYRE
2024-08-03 03:00:00,7.5,8.12,8.32,JKTYRE
2019-08-01 08:00:00,-0.1,0.54,644.3,JKTYRE
2019-05-16 09:00:00,2.0,1.48,-26.0,JKTYRE
2019-02-14 09:00:00,1.4,1.18,-15.71,JKTYRE
2018-10-30 06:00:00,3.1,2.29,-26.13,JKTYRE
2018-07-18 08:00:00,3.2,2.83,-11.56,JKTYRE
2018-05-17 09:00:00,4.3,6.42,49.39,JKTYRE
2017-08-14 07:00:00,4.35,-4.75,-209.2,JKTYRE
2017-02-09 13:00:00,5.0,6.86,37.14,JKTYRE
2016-08-09 08:00:00,3.7,5.63,52.21,JKTYRE
2016-05-17 06:00:00,5.4,5.07,-6.2,JKTYRE
2015-10-29 10:00:00,4.98,5.21,4.62,JKTYRE
2015-08-04 14:00:00,4.28,5.47,27.71,JKTYRE
2015-05-14 16:00:00,4.83,4.67,-3.31,JKTYRE
2014-11-14 13:00:00,2.07,2.8,35.36,JKTYRE
2014-08-18 04:00:00,1.65,3.92,137.56,JKTYRE
2014-06-11 01:00:00,1.87,1.51,-19.38,JKTYRE
2014-02-11 08:00:00,1.75,1.66,-5.15,JKTYRE
2011-11-18 15:00:00,0.84,-1.2,-242.62,JKTYRE
2011-07-29 05:00:00,0.7,0.05,-93.43,JKTYRE
2010-01-20 07:00:00,1.86,1.86,,JKTYRE
2008-10-23 12:00:00,-0.16,-0.16,,JKTYRE
