earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-04 06:00:00,10.1,10.64,5.3,JSL
2026-01-20 19:00:00,9.9,10.05,1.52,JSL
2025-11-10 05:00:00,8.8,9.62,9.34,JSL
2025-05-08 07:00:00,7.2,7.24,0.55,JSL
2025-01-29 05:00:00,7.2,7.95,10.42,JSL
2024-10-17 05:00:00,7.6,7.41,-2.5,JSL
2024-07-30 07:00:00,10.6,7.01,-33.87,JSL
2024-05-15 08:00:00,10.6,5.5,-48.15,JSL
2024-01-18 04:00:00,9.71,8.41,-13.39,JSL
2023-10-19 06:00:00,14.4,8.46,-41.26,JSL
2023-07-26 06:00:00,12.6,8.08,-35.87,JSL
2023-05-17 06:00:00,10.5,9.3,-11.43,JSL
2023-01-23 04:00:00,5.35,5.98,11.78,JSL
2022-11-02 07:00:00,3.9,3.03,-22.31,JSL
2022-07-25 07:00:00,5.2,5.46,5.0,JSL
2022-05-02 06:00:00,8.5,12.88,51.53,JSL
2022-02-07 05:00:00,7.4,7.14,-3.51,JSL
2021-10-26 04:00:00,6.2,7.9,27.42,JSL
2021-05-14 04:00:00,3.2,5.14,60.58,JSL
2021-02-04 05:00:00,2.2,3.04,38.18,JSL
2020-10-30 07:00:00,1.3,2.01,54.62,JSL
2020-09-08 04:00:00,-1.6,-2.5,-56.25,JSL
2020-06-06 07:00:00,-0.6,-1.33,-121.67,JSL
2019-11-11 06:00:00,1.3,1.06,-18.46,JSL
