earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-14 05:00:00,7.9,8.98,13.66,JSWSTEEL
2026-01-23 04:00:00,5.63,10.91,93.99,JSWSTEEL
2025-10-17 05:00:00,7.3,6.11,-16.3,JSWSTEEL
2025-07-18 05:00:00,8.59,8.93,3.96,JSWSTEEL
2025-05-23 06:00:00,5.3,11.88,124.2,JSWSTEEL
2025-01-24 05:00:00,3.92,3.35,-14.52,JSWSTEEL
2024-10-25 04:00:00,3.53,3.2,-9.28,JSWSTEEL
2024-07-19 08:00:00,6.89,3.45,-49.9,JSWSTEEL
2024-05-17 06:00:00,6.95,5.31,-23.63,JSWSTEEL
2024-01-25 04:00:00,9.74,9.88,1.42,JSWSTEEL
2023-10-20 05:00:00,11.31,9.87,-12.78,JSWSTEEL
2023-07-21 02:00:00,3.8,7.05,85.53,JSWSTEEL
2023-05-19 06:00:00,8.9,11.74,31.91,JSWSTEEL
2023-01-20 05:00:00,4.2,5.11,21.67,JSWSTEEL
2022-10-21 06:00:00,1.7,-0.38,-122.35,JSWSTEEL
2022-07-22 06:00:00,6.21,3.46,-44.28,JSWSTEEL
2022-05-27 07:00:00,18.91,15.4,-18.58,JSWSTEEL
2022-01-21 05:00:00,10.0,14.17,41.7,JSWSTEEL
2021-10-21 06:00:00,25.27,29.67,17.43,JSWSTEEL
2021-07-23 06:00:00,21.5,21.75,1.16,JSWSTEEL
2021-05-21 06:00:00,15.7,17.6,12.1,JSWSTEEL
2021-01-22 05:00:00,11.41,11.09,-2.78,JSWSTEEL
2020-10-23 06:00:00,4.21,6.59,56.65,JSWSTEEL
2020-07-24 06:00:00,-2.66,-2.34,12.03,JSWSTEEL
