earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-22 04:00:00,8.0,8.1,1.31,JUBLPHARMA
2026-02-06 02:00:00,6.9,5.01,-27.34,JUBLPHARMA
2025-10-31 03:00:00,7.1,7.85,10.5,JUBLPHARMA
2025-05-16 03:00:00,8.5,9.83,15.68,JUBLPHARMA
2024-10-25 02:00:00,4.9,7.14,45.8,JUBLPHARMA
2024-07-19 08:00:00,44.2,6.32,-85.7,JUBLPHARMA
2023-02-03 02:00:00,4.8,-0.98,-120.42,JUBLPHARMA
2022-10-21 04:00:00,4.3,0.82,-81.03,JUBLPHARMA
2022-08-02 03:00:00,4.4,2.96,-32.73,JUBLPHARMA
2022-05-27 08:00:00,4.65,3.74,-19.57,JUBLPHARMA
2022-02-04 06:00:00,7.7,3.2,-58.44,JUBLPHARMA
2021-10-22 05:00:00,7.5,8.97,19.6,JUBLPHARMA
2021-07-23 06:00:00,12.5,10.09,-19.28,JUBLPHARMA
2021-06-04 07:00:00,14.6,11.3,-22.63,JUBLPHARMA
2021-02-05 04:00:00,16.3,19.9,22.09,JUBLPHARMA
2020-11-04 04:00:00,16.6,14.06,-15.3,JUBLPHARMA
2020-09-04 06:00:00,13.1,5.53,-57.79,JUBLPHARMA
2020-05-29 06:00:00,12.87,16.35,27.09,JUBLPHARMA
2020-01-31 04:00:00,13.6,14.28,4.99,JUBLPHARMA
2019-10-25 06:00:00,12.25,15.66,27.84,JUBLPHARMA
2019-07-26 05:00:00,14.23,11.61,-18.43,JUBLPHARMA
2019-05-17 06:00:00,16.7,8.5,-49.11,JUBLPHARMA
2019-02-01 05:00:00,15.81,16.74,5.9,JUBLPHARMA
2018-10-22 05:00:00,13.21,13.5,2.22,JUBLPHARMA
