earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-04-30 05:00:00,9.17,9.96,8.6,KAJARIACER
2026-01-30 04:00:00,8.13,7.24,-11.02,KAJARIACER
2025-10-16 04:00:00,7.79,8.37,7.39,KAJARIACER
2025-07-22 04:00:00,5.84,6.98,19.48,KAJARIACER
2025-05-06 23:00:00,6.66,2.67,-59.92,KAJARIACER
2025-02-04 03:00:00,6.7,4.88,-27.16,KAJARIACER
2024-10-22 04:00:00,6.85,5.28,-22.94,KAJARIACER
2024-07-23 04:00:00,6.09,5.63,-7.52,KAJARIACER
2024-05-07 05:00:00,8.16,6.43,-21.17,KAJARIACER
2024-01-31 03:00:00,7.45,6.53,-12.36,KAJARIACER
2023-10-20 04:00:00,7.74,6.78,-12.43,KAJARIACER
2023-07-26 04:00:00,6.44,6.75,4.78,KAJARIACER
2023-05-16 04:00:00,6.52,6.99,7.24,KAJARIACER
2023-01-28 06:00:00,5.94,4.67,-21.37,KAJARIACER
2022-11-02 06:00:00,6.11,4.55,-25.4,KAJARIACER
2022-07-21 04:00:00,5.85,5.8,-0.83,KAJARIACER
2022-05-17 04:00:00,7.44,6.01,-19.18,KAJARIACER
2022-01-21 03:00:00,7.51,7.67,2.17,KAJARIACER
2021-10-22 04:00:00,5.9,7.3,23.7,KAJARIACER
2021-08-03 04:00:00,2.68,2.71,1.31,KAJARIACER
2021-06-14 04:00:00,7.24,7.99,10.32,KAJARIACER
2021-01-21 03:00:00,5.96,7.48,25.43,KAJARIACER
2020-10-20 04:00:00,4.45,5.6,25.98,KAJARIACER
2020-08-07 04:00:00,-0.95,-1.7,-79.34,KAJARIACER
