earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2026-05-13 07:00:00,26.13,13.23,-49.36,KAYNES
2026-02-05 09:00:00,18.1,11.44,-36.77,KAYNES
2025-11-04 11:00:00,14.62,18.5,26.54,KAYNES
2025-07-31 02:00:00,9.64,11.52,19.5,KAYNES
2025-05-15 12:00:00,17.93,17.99,0.32,KAYNES
2025-01-27 08:00:00,14.42,10.28,-28.71,KAYNES
2024-10-29 07:00:00,9.14,9.29,1.64,KAYNES
2024-07-26 09:00:00,7.13,7.84,9.91,KAYNES
2024-05-16 07:00:00,8.93,12.97,45.28,KAYNES
2024-01-30 08:00:00,7.29,7.49,2.7,KAYNES
2023-10-31 07:00:00,6.65,5.55,-16.54,KAYNES
