earnings_date,eps_estimate,eps_reported,surprise_pct,symbol
2024-02-12 06:00:00,5.43,7.74,42.6,KIRLOSENG
2023-11-02 07:00:00,7.89,5.38,-31.81,KIRLOSENG
2023-08-10 07:00:00,5.86,8.65,47.61,KIRLOSENG
2020-07-30 03:00:00,-2.7,-0.75,72.22,KIRLOSENG
2020-06-19 06:00:00,2.4,3.22,34.17,KIRLOSENG
2020-01-31 03:00:00,2.8,2.95,5.36,KIRLOSENG
2019-10-24 04:00:00,3.33,2.56,-23.01,KIRLOSENG
2019-08-09 02:00:00,3.6,3.05,-15.28,KIRLOSENG
2019-05-17 09:00:00,3.2,6.37,99.06,KIRLOSENG
2019-01-25 03:00:00,3.1,2.9,-6.45,KIRLOSENG
2018-10-29 09:00:00,3.09,2.85,-7.77,KIRLOSENG
2018-08-27 01:00:00,2.73,3.43,25.64,KIRLOSENG
2018-05-18 04:00:00,3.18,3.06,-3.62,KIRLOSENG
2018-01-24 02:00:00,1.9,2.73,43.68,KIRLOSENG
2017-10-17 04:00:00,2.6,2.07,-20.38,KIRLOSENG
2017-08-10 05:00:00,4.3,2.52,-41.4,KIRLOSENG
2017-05-10 05:00:00,3.89,3.06,-21.24,KIRLOSENG
2017-01-25 03:00:00,2.4,1.94,-19.33,KIRLOSENG
2016-10-22 07:00:00,3.59,2.94,-18.11,KIRLOSENG
2016-08-04 13:00:00,3.1,4.06,30.97,KIRLOSENG
2016-05-18 12:00:00,2.0,4.08,103.95,KIRLOSENG
2016-01-27 08:00:00,2.2,2.02,-8.2,KIRLOSENG
2015-10-28 10:00:00,2.7,2.47,-8.52,KIRLOSENG
2015-08-07 11:00:00,3.0,2.48,-17.33,KIRLOSENG
2015-05-08 14:00:00,3.3,1.83,-44.55,KIRLOSENG
